name,id,tier,rarity,base value,range,damage/second,damage/shot,emp,impact,turn rate,OPs,ammo,ammo/sec,reload size,type,energy/shot,energy/second,chargeup,chargedown,burst size,burst delay,min spread,max spread,spread/shot,spread decay/sec,beam speed,proj speed,launch speed,flight time,proj hitpoints,hints,tags,groupTag,tech/manufacturer,for weapon tooltip>>,primaryRoleStr,speedStr,trackingStr,turnRateStr,accuracyStr,customPrimary,customPrimaryHL,customAncillary,customAncillaryHL,noDPSInTooltip,number,,
Trebel,dpl_trebel,3,,,450,,2000,,50,5,,2,0.1,,ENERGY,2200,,,5,,,0,0,0,0,,1000,,,100,"SYSTEM,STRIKE",,,Domain Phase Lab,,General,,,,,,,,,,106,,
Phonograph Torpedo,dpl_phonograph,3,0.6,1200,800,,5500,,100,10,4,1,,,ENERGY,1200,,0,15,1,,0,0,0,0,,350,100,3,400,STRIKE,"missile8, strike4, dpl_commercial_bp",,Domain Phase Lab,,General,,,,,,,,,TRUE,100,,
Standard Gramophone Launcher,dpl_stdgramophone,3,0.5,3000,1000,,4500,,90,25,15,6,,,ENERGY,1000,,0,15,1,,0,0,0,0,,450,120,3,550,STRIKE,"missile8, strike4, dpl_commercial_bp",,Domain Phase Lab,,General,Fast,None,,,,,,,TRUE,101,,
Heavy Gramophone Launcher,dpl_hvygramophone,3,0.4,6000,1000,,4500,,90,25,30,15,,,ENERGY,1000,,0,15,2,0.5,0,0,0,0,,450,120,3,550,STRIKE,"missile8, strike4, dpl_commercial_bp",,Domain Phase Lab,,General,Fast,None,,,,,,,TRUE,102,,
Gramophone Torpedo,dpl_gramophone,3,0.5,1000,1000,,4500,,90,10,3,1,,,ENERGY,1000,,0,15,1,,0,0,0,0,,450,120,3,550,STRIKE,"missile8, strike4, dpl_commercial_bp",,Domain Phase Lab,,General,,,,,,,,,TRUE,103,,
Notes,dpl_hydraulis_notes,3,,,4000,,400,250,25,15,,6,0.3,6,ENERGY,425,,0,18,6,0.3,0,0,0,0,,400,200,11,400,"SYSTEM,DO_NOT_AIM, DO_NOT_CONSERVE",,,Domain Phase Lab,,Long Range Support (Area),Fast,Medium,,,"When these motes hit on the target, each hit will arc to weapons and engines, causing %s of the weapon damage amount of energy damage, with emp. The motes also deal large amount of damage to wings and missiles.",20%,,,TRUE,104,,
Phase Lights,dpl_phase_lights,3,,,4000,,3350,,25,15,,1,0.1,1,ENERGY,3300,,0,10,1,,0,0,0,0,,300,200,14,2000,"SYSTEM,DO_NOT_AIM, DO_NOT_CONSERVE",,,Domain Phase Lab,,Long Range Support (Area),Medium,Medium,,,,,,,TRUE,104,,
Anomoly Stablizer,dpl_mote_stablizer,3,,10000,1200,,100,,15,30,,3,0.05,1,ENERGY,1000,,0,1,1,,0,0,0,0,,150,50,8,300,"SYSTEM,GUIDED_POOR,DO_NOT_AIM,DO_NOT_CONSERVE",missile8,,DPL Classified,,Anti Shield,Slow,Poor,,,"Due to destablizing effects of the small mote-like anomalies, submunition hits on shield would raise hardflux by %s. This damage ignores shield efficiency.",175,,,TRUE,11.75,,
Siren DEM SRM,dpl_siren,1,,250,1500,,1200,,15,30,4,3,,,ENERGY,0,,0,4,1,,0,0,0,0,,300,75,6,250,DO_NOT_AIM,"missile8, strike4, merc, dpl_commercial_bp, damage_special, damage_soft_flux",,Domain Phase Lab,,Assault / Finisher,Medium,Good,,,"The missile fires a high-powered laser when it gets near the target, dealing approximately %s energy damage in a short burst. This damage is affected by missile damage modifiers and not energy weapon ones.",1200,,,TRUE,11.9,,
Single Siren DEM SRM,dpl_siren_single,1,,,1500,,1200,,15,30,,1,,,ENERGY,0,,0,4,1,,0,0,0,0,,300,75,6,250,"SYSTEM, DO_NOT_AIM",,,Domain Phase Lab,,Assault / Finisher,Medium,Good,,,"The missile fires a high-powered laser when it gets near the target, dealing approximately %s energy damage in a short burst. This damage is affected by missile damage modifiers and not energy weapon ones.",1200,,,TRUE,11.9,,
    Siren - Payload,dpl_siren_payload,1,,0,700,1200,,,,30,0,,,,ENERGY,0,,0.05,0.25,0.9,0.5,,,,,1000000,,,,,"SYSTEM, DANGEROUS",fires_one_burst,,,,,,,,,,,,,,11.91,,
Anchor,dpl_anchor,2,,,1600,,100,,15,30,0,1,0.05,1,ENERGY,0,,0,10,1,,0,0,0,0,,150,25,6,550,"SYSTEM, DO_NOT_AIM","missile6, damage_special, damage_soft_flux",,DPL Classified,,Suppression,Slow,Good,,,"The missile fires a guiding beam at the non-phased targets, dealing approximately %s energy damage over the course of %s seconds. This damage is affected by missile damage modifiers and not energy weapon ones. It serves as the anchor to fire high-dimensional annihilation arcs.",500 | 5,,,TRUE,11.94,,
    Anchor - Payload,dpl_anchor_payload,2,,0,1000,100,,,20,30,0,,,,ENERGY,0,,0.1,0.1,10,0.5,,,,,2400,,,,,SYSTEM,,,,,,,,,,,,,,,11.95,,
Tremolo,dpl_tremolo,3,,,500,1200,,,0,15,,,,,ENERGY,,1000,0.5,0.25,1,9,,,,,10000,,,,,"SYSTEM,SHOW_IN_CODEX,STRIKE,USE_VS_FRIGATES",,,Domain Phase Lab,,Anti Armor,,,,,,,,,,105,,
Graviton Lance,dpl_graviton_lance,3,0.6,1600,1000,400,,,10,15,11,,,,KINETIC,,500,0.5,1,1,4,,,,,3000,,,,,"STRIKE,USE_VS_FRIGATES","energy14, beam10, LR, dpl_commercial_bp",,Domain Phase Lab,,Anti Shield,,,,,,,,,,105,,
Plasma Lance,dpl_plasma_lance,3,0.6,1600,1000,450,,,10,15,12,,,,ENERGY,,550,0.5,1,1,4,,,,,3000,,,,,"STRIKE,USE_VS_FRIGATES","energy14, beam10, LR, dpl_commercial_bp",,Domain Phase Lab,,Anti Armor,,,,,,,,,,105,,
Gamma Blaster,dpl_gamma_blaster,3,0.7,1000,500,1200,,,0,15,10,20,,,ENERGY,,1000,0.5,0.25,1,9,,,,,10000,,,,,"STRIKE,USE_VS_FRIGATES","energy14, beam10, LR, dpl_commercial_bp",,Domain Phase Lab,,Anti Armor,,,,,,,,,,105,,
Longinus,dpl_longinus,3,,,950,,5500,4000,200,5,,1,0.033,,ENERGY,6000,,0.2,20,,,0,0,0,0,,1000,,,1000,"SYSTEM,STRIKE",,,Domain Phase Lab,,Anti Armor,,,,,Dealing extra high explosive damage when hits on hull. Hits on shields has no effect.,,,,,106,,
Gungnir,dpl_gungnir,3,,,500,,5000,1000,200,5,,1,0.033,,HIGH_EXPLOSIVE,5500,,0.2,20,,,0,0,0,0,,1000,,,1000,"SYSTEM,STRIKE",,,Domain Phase Lab,,Anti Armor,,,,,,,,,,107,,
Phase Lightning Cannon,dpl_phase_pd,3,0.4,6500,500,,200,300,40,12,30,,,,ENERGY,160,,0,2,12,0.2,,,,,,10000,,,25,"PD,PD_ALSO","pd20, dpl_navy_bp, no_bp_drop",,Domain Phase Lab,,Point Defense,,,,Perfect,Fires phase lightning arcs at the nearest target close to the weapon's current facing. The arc always hits. Generates secondary and tertiary arcs with %s of the range and the same amount of damage when hitting a target,50%,,,,200.25,,
Heavy Lightning Cannon,dpl_heavy_phase_pd,3,,10000,850,,100,500,40,12,30,,,,ENERGY,550,,0,2,12,0.2,,,,,,10000,,,25,"PD,PD_ALSO",,,Domain Phase Lab,,Point Defense,,,,Perfect,"Fires phase lightning arcs at the nearest target close to the weapon's current facing. The arc always hits. When hitting a target, it generates secondary arcs to all targets within %s of the range to the target, causing the same amount of damage. It deals %s additional damage to fighters and missiles.",50%|150%,,,,,,
Thermal Pulse Lance,dpl_tpl,0,,,1000,1650,,,0,7,,,,,ENERGY,,800,0.5,1,1,1.5,,,,,10000,,,,,"SHOW_IN_CODEX,SYSTEM,FIRE_WHEN_INEFFICIENT",,,Domain Phase Lab,,General,,,,,,,,,,108,,
High Density Plasma Lance,dpl_hdpl,3,0.4,8000,1000,1600,,1000,0,7,26,,,,ENERGY,,2250,0.5,1,1,4,,,,,10000,,,,,FIRE_WHEN_INEFFICIENT,"energy20, beam15, LR, dpl_navy_bp, no_bp_drop",,Domain Phase Lab,,Suppression,,,,,Dealing extra high explosive damage when hits on hull. Hits on shields has no special effect.,,,,,27,,
Phase Charge Lance,dpl_lightning_lance,3,0.4,8500,1000,1350,,1500,0,7,26,,,,ENERGY,,1800,0.5,1,1,4,,,,,10000,,,,,FIRE_WHEN_INEFFICIENT,"energy20, beam15, LR, dpl_navy_bp, no_bp_drop",,Domain Phase Lab,,Suppression,,,,,"Hits on hull or armor frequently arc to weapons and engines, dealing extra EMP and energy damage. Hits on shields have a chance to generate a shield-penetrating arc based on the target's shield strength.",,,,,27,,
