name,id,tier,rarity,tech/manufacturer,tags,uiTags,base value,unlocked,hidden,hiddenEverywhere,cost_frigate,cost_dest,cost_cruiser,cost_capital,script,desc,short,sModDesc,sprite
XLU Weapons Overhaul,xlu_weapons_overhaul,2,,XLU,"req_spaceport, offensive, xlu_hullmods","Weapons, Requires Dock",0,TRUE,,,8,15,24,40,data.hullmods.xlu_weapons_overhaul,Heavy XLU modifications allow ships to mount more efficient Ballistic loader systems that greatly improves the ship's firing capabilities.,Reduces flux versatility in exchange for improved ballistics barrage capability.,,graphics/Extratential Lanestate Union/hullmods/xlu_weapons_overhaul.png
Lanestate Breezer Rounds,xlu_breezer_rounds,1,,XLU,"no_drop, req_spaceport, offensive, xlu_hullmods","Weapons, Requires Dock",5000,,,,3,6,10,18,data.hullmods.xlu_breezer_rounds,"Replaces autofactory template of depleted uranium fragmenting rounds to bigger, heavier Lanestate-grade Breezer rounds to all existing weapons on the ship.

Fragmentation Ballistic weapons receive %s additional damage and an increased range factor of %s (excluding those beyond 700 units).

These behemoth rounds demand larger autoloader replacements to accomodate them, which leads to an increase of Ordinance points by %s.","If there's a modifier for specific weapons flux and speed, they're gonna be there.",Increases the damage of Ballistic weapons while reducing their flux generation by %s.,graphics/Extratential Lanestate Union/hullmods/xlu_breezer_rounds.png
Heatflux Chamber,xlu_heatflux_chamber,1,,XLU,"no_drop, offensive, xlu_hullmods",Weapons,10000,,,,4,8,14,24,data.hullmods.xlu_heatflux_chamber,"Augments autofactory production of ballistic rounds to accomodate plasma-charged tips derived from stray flux. Plasma draw from factories increase Hit strength of all its weapons by %s.

If Flux levels reach beyond %s up to the maximum %s, the Ballistic weapons will deal additional %s as projectiles travel %s faster, but the munitions will overheat the ordinance systems thus independent safety systems enforce a drop of %s on Firing Speed.","Bigger Dakka or Faster Dakka. Decisions, decisions.","Reduces flux generation of Ballistic weapons by %s.
Increases projectile speed of Ballistic weapons by %s, regardless of flux level.",graphics/Extratential Lanestate Union/hullmods/xlu_heatflux_chamber.png
Ultra-braced Bulkheads,xlu_ultra_bulkheads,3,,XLU,"no_drop, req_spaceport, offensive, xlu_hullmods","Defenses, Requires Dock",20000,,,,4,8,14,24,data.hullmods.xlu_ultra_bulkheads,The in-house specialty reinforcement that increases the ship's hull integrity by %s while boosting minimum armor by %s. Provides a slight resistance for armor and hull against kinetic damage by %s.,Increases hull integrity; ship almost always recoverable if lost.,"Increases Kinetic damage resistance further up to %s.
Provides EMP resistance by %s.",graphics/Extratential Lanestate Union/hullmods/xlu_ultra_bulkheads.png
,,,,,,,,,,,,,,,,,,,
XLCrew Hardy Boys Battalion,xlu_crew_hardyboys,3,,XLU,"req_spaceport, defensive, special, xlu_hullmods, no_drop","Fighters, Special, Requires Dock",200000,,,,5,10,20,30,data.hullmods.xlu_crew_hardyboys,"Includes a crowded barracks for the Lanestate Hardy Boys, men and women who prefer to dedicate their lives in the frontlines with each pinning their oaths of their families for generations.

Provides Wing LPC discounts, faster weapon/engine repairs and a small bonus for ground support at a cost of large crew requirements.

XLCrews prefer ships with %s, otherwise certain bonuses have reduced effectiveness.",We and da Grekkinz (zic) be runnin' at da door.,,graphics/Extratential Lanestate Union/hullmods/xlu_crew_hardyboys.png
XLCrew Warshots Company,xlu_crew_warshots,3,,XLU,"req_spaceport, offensive, special, xlu_hullmods, no_drop","Weapons, Special, Requires Dock",200000,,,,5,10,20,30,data.hullmods.xlu_crew_warshots,"Includes an accommodation berth for the Lanestate Warshots, composed of veteran cannoneers, engineers and gunsmiths who can improve existing Ballistic weapon systems as such opportunity arises.

Provides all Ballistic weapon discounts and durable, faster weapons at a heightened supply cost.

XLCrews prefer ships with %s, otherwise certain bonuses have reduced effectiveness.",Me and da Shoota boyz chargin' at yer ship.,,graphics/Extratential Lanestate Union/hullmods/xlu_crew_warshots.png
XLCrew Waymaker Compliment,xlu_crew_waymakers,3,,XLU,"req_spaceport, offensive, special, xlu_hullmods, no_drop","Weapons, Special, Requires Dock",200000,,,,5,10,20,30,data.hullmods.xlu_crew_waymakers,"Includes a modest quarters with enough space for the Lanestate Waymakers, a team of pioneers, hunters and on-hands scientists that want to take part of the ship's crew.

Provides non-Ballistic and Exotic weapon discounts, simple improvements to ship systems and better logistics.

XLCrews prefer ships with %s, otherwise certain bonuses have reduced effectiveness.",Me and da Odd boyz thinkin' abowt sumtin'.,,graphics/Extratential Lanestate Union/hullmods/xlu_crew_waymakers.png
,,,,,,,,,,,,,,,,,,,
Uranium Explosion,xlu_uranium_explosion,,,,special,Special,0,,TRUE,,0,0,0,0,data.hullmods.bi.xlu_uranium_explosion,"Due to the size of the tanker, the fallout radius of the volatile explosion would become more catastrophic than typical tanker volumes, having the blast radius of %s its own original size.",Makes the ship explode more violently.,,graphics/Extratential Lanestate Union/hullmods/xlu_juggernaught_hullmod.png
