name,id,designation,tech/manufacturer,system id,fleet pts,hitpoints,armor rating,max flux,8/6/5/4%,flux dissipation,ordnance points,fighter bays,max speed,acceleration,deceleration,max turn rate,turn acceleration,mass,shield type,defense id,shield arc,shield upkeep,shield efficiency,phase cost,phase upkeep,min crew,max crew,cargo,fuel,fuel/ly,range,max burn,base value,cr %/day,CR to deploy,peak CR sec,CR loss/sec,supplies/rec,supplies/mo,hints,tags,rarity,breakProb,minPieces,maxPieces,number
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#####,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asp,filgap_asp,,Low Tech,,,300,50,50,,10,0,,250,250,200,60,120,40,NONE,,0,0,0,,,2,2,,,,,,,,,,,,,,,,0,,
Ethon,filgap_ethon,,Midline,,,400,60,400,,100,0,,350,500,400,120,270,30,NONE,,0,0,0,,,1,1,,,,,,,,,,,,,,,,0,,
Filum,filgap_filum,,Low Tech,,,500,100,150,,100,0,,125,75,75,100,200,50,NONE,,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,0,,,,
Maringuin,filgap_maringuin,,Low Tech,,,700,50,50,,10,0,,175,250,200,80,200,60,NONE,,0,0,0,,,2,2,,,,,,,,,,,,,,,,,,,,,,0,,,,
Bentu,filgap_bentu,,High Tech,flarelauncher_fighter,,400,80,300,,70,0,,200,300,300,80,200,30,OMNI,,160,0,1,,,0,0,,,,,,,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Velite,filgap_velite,Frigate,Midline,flarelauncher,5,1500,250,2200,2200,175,45,,140,130,100,70,120,200,FRONT,,220,0.4,0.8,,,20,30,40,25,1,25,10,9000,10,10,240,0.25,4,4,,persean,,0.4,2,2
Huntsman,filgap_huntsman,Gunship,Low Tech,flarelauncher,5,1500,250,2500,2200,170,40,,110,150,130,70,120,200,FRONT,,180,0.3,1,,,20,35,40,25,1,25,10,8000,8,10,240,0.25,4,4,,"heg_aux_bp, LC_bp, luddic_church",,0.5,2,2
Fulk,filgap_fulk,Frigate,Luddic Church,flarelauncher,4,2000,350,1800,2000,130,45,,140,130,100,60,100,200,FRONT,,180,0.4,1,,,20,45,40,25,1,25,10,9000,6,10,240,0.25,4,4,,"LC_bp, luddic_church",,0.4,2,2
