name,id,designation,tech/manufacturer,system id,fleet pts,hitpoints,armor rating,max flux,8/6/5/4%,flux dissipation,ordnance points,fighter bays,max speed,acceleration,deceleration,max turn rate,turn acceleration,mass,shield type,defense id,shield arc,shield upkeep,shield efficiency,phase cost,phase upkeep,min crew,max crew,cargo,fuel,fuel/ly,range,max burn,base value,cr %/day,CR to deploy,peak CR sec,CR loss/sec,supplies/rec,supplies/mo,hints,tags,rarity,breakProb,minPieces,maxPieces,number
Orisis,astroidships_orisis,Interceptor,Low Tech,,,300,10,350,,100,0,,300,450,310,150,300,10,NONE,,0,0,0,,,1,1,,,,,,,,,,,,,,,,0,,,999
Boulder,astroidships_boulder,Shuttle,Low Tech,fastmissileracks,2,1500,100,1000,,150,20,,130,300,200,50,200,90,FRONT,,90,0.1,1,,,10,20,20,20,1,14,10,3000,6,2,180,0.1,2,1,COMBAT,"pirate_bp,pirates,independent",0.5,0.4,2,3,999
Stoner,astroidships_stoner,Frigate,Low Tech,flarelauncher,3,700,70,1200,,70,30,,100,300,200,80,120,80,FRONT,,130,0.1,1,,,8,15,25,20,1,15,10,4000,4,2,240,0.1,3,2,COMBAT,"pirate_bp,pirates,independent",0.5,0.3,2,3,999
Havel,astroidships_havel,Frigate,Low Tech,ammofeed,5,2000,170,1500,,200,55,,140,250,100,70,100,120,OMNI,,100,0.2,1,,,15,28,30,35,1,20,10,7000,5,4,240,0.1,5,3,COMBAT,"pirate_bp,pirates,independent",0.4,0.3,2,3,999
Vesta,astroidships_vesta,Destroyer,Low Tech,burndrive,9,7000,350,4600,,250,90,,75,300,150,60,20,340,OMNI,,80,0.3,1,,,50,100,110,80,3,30,8,20000,5,10,360,0.2,9,5,COMBAT,"pirate_bp,pirates,independent",0.3,0.4,2,3,999
Tholen,astroidships_tholen,Destroyer,Low Tech,flarelauncher,9,9000,370,5000,,270,100,,75,200,120,60,80,400,OMNI,,120,0.3,1,,,50,70,110,90,2,22,8,25000,5,10,360,0.2,9,5,COMBAT,"pirate_bp,pirates,independent",0.5,0.3,2,3,999
Galileo,astroidships_galileo,Destroyer,Low Tech,fastmissileracks,8,3000,150,3500,,150,90,,80,300,250,70,80,240,OMNI,,90,0.8,1,,,40,60,65,60,2,20,9,20000,3,5,360,0.1,8,4,,"pirate_bp,pirates,independent",0.4,0.3,2,3,999
Rock,astroidships_rock,Cruiser,Low Tech,maneuveringjets,10,10000,300,6000,,350,120,,75,200,200,60,90,500,OMNI,,125,0.4,1,,,100,160,170,110,3,30,8,50000,4,10,420,0.1,10,10,COMBAT,"pirate_bp,pirates,independent",0.5,0.2,2,4,999
Cerus,astroidships_cerus,Cruiser,Low Tech,ammofeed,22,15000,400,8000,,600,190,1,50,270,180,35,20,700,OMNI,,120,0.4,1,,,150,200,140,200,5,40,7,90000,4,12,540,0.1,22,15,COMBAT,"pirate_bp,pirates,independent",0.4,0.3,2,4,999
Clanker,astroidships_clanker,Cruiser,Low Tech,maneuveringjets,18,13000,350,7000,,570,130,,80,250,200,70,90,650,OMNI,,80,0.3,1,,,120,160,150,300,4,50,8,80000,4,10,420,0.1,18,12,COMBAT,"pirate_bp,pirates,independent",0.5,0.3,2,4,999
Pebble,astroidships_pebble,Battlecarrier,Low Tech,targetingfeed,50,35000,700,16000,,900,340,3,35,50,20,20,20,2000,OMNI,,360,0.6,0.8,,,800,1000,460,570,22,60,7,275000,4,20,640,0.15,50,30,COMBAT,"pirate_bp,pirates,independent",0.4,0.2,2,4,999
Mentis,astroidships_mentis,Light Carrier,Low Tech,flarelauncher,8,5500,270,2900,,150,35,2,75,200,100,40,60,370,OMNI,,80,0.5,1,,,80,120,100,120,2,25,9,22000,5,7,360,0.1,9,5,CARRIER,"pirate_bp,pirates,independent",0.5,0.4,2,3,999
Kari,astroidships_kari,Combat Freighter,Low Tech,ammofeed,8,4500,250,3000,,150,65,,70,200,150,50,60,270,OMNI,,75,0.8,1,,,45,65,300,50,2,20,9,21000,3,6,300,0.1,6,4,,"pirate_bp,pirates,independent",0.5,0.6,2,3,999
Pasithee,astroidships_pasithee,Combat Freighter,Low Tech,flarelauncher,7,4000,350,4000,,150,70,,47,30,20,25,15,500,OMNI,,90,0.5,1,,,40,60,35,800,2,400,8,23500,5,20,300,0.25,6,5,"COMBAT, TANKER","pirate_bp,pirates,independent",0.5,0.75,3,4,999
Fenrir,astroidships_fenrir,Battlecarrier,Low Tech,burndrive,45,38000,600,18000,,850,270,6,32,45,15,15,15,2200,OMNI,,140,0.4,1,,,600,850,400,850,20,55,7,300000,4,20,600,0.1,50,32,"COMBAT, CARRIER","pirate_bp,pirates,independent",0.6,0.7,3,5,999
