name,id,designation,tech/manufacturer,system id,fleet pts,hitpoints,armor rating,max flux,8/6/5/4%,flux dissipation,ordnance points,fighter bays,max speed,acceleration,deceleration,max turn rate,turn acceleration,mass,shield type,defense id,shield arc,shield upkeep,shield efficiency,phase cost,phase upkeep,min crew,max crew,cargo,fuel,fuel/ly,range,max burn,base value,cr %/day,CR to deploy,peak CR sec,CR loss/sec,supplies/rec,supplies/mo,c/s,c/f,f/s,f/f,crew/s,crew/f,hints,tags,rarity,breakProb,minPieces,maxPieces,travel drive,number
Sheath,thg_sheath_core,Droneship Strike Cruiser,Remnant,microburn,18,7500,800,9500,12000,550,120,,75,50,35,25,35,1250,FRONT,,220,0.4,0.6,,,0,0,120,90,3,30,9,155000,5,15,540,0.25,25,25,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX, SHIP_WITH_MODULES","remnant, auto_rec",,0.5,2,3,,413
Sheath Shell,thg_sheath_shell,Remnant Station Armour,,damper,1,5000,800,5500,2500,450,80,,0,0,0,10,10,1500,FRONT,,90,0.3,0.6,,,0,0,0,0,1,0,,500000,,1,,,0,0,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX",,,1,2,4,,2212
Crisis,thg_crisis,Light Droneship,Remnant,plasmajets,5,1200,200,3000,3125,275,35,,145,300,250,100,285,200,OMNI,,150,0.4,0.6,,,0,0,25,30,1,40,12,22000,5,10,330,0.25,3,3,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX","remnant, auto_rec",,0.5,2,2,,227
Praxius,thg_praxius,Droneship,Remnant,displacer,8,3500,500,4500,5000,450,80,,95,45,35,25,350,500,OMNI,,270,0.4,0.6,,,0,0,50,60,2,30,10,50000,10,10,420,0.25,10,10,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX","remnant, auto_rec",,0.5,2,3,,317
Crisis Mk.II,thg_crisismkii,Trojan Droneship,Remnant,flarelauncher_active,6,1100,200,2850,3125,250,35,1,140,300,250,100,285,200,OMNI,,150,0.4,0.6,,,0,0,50,30,1,40,12,22000,5,10,330,0.25,4,4,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX","remnant, auto_rec",,0.5,2,2,,
Gleam,thg_gleam,,Remnant,flarelauncher_single,,250,35,200,,75,0,,350,550,450,100,275,12,FRONT,,125,0,0.8,,,0,0,,,,,,,,,,,,,,,,,,,,,,0,,,,114
Omniscience,thg_omniscience,,Remnant,flarelauncher_active,,750,200,900,,200,0,,190,300,255,95,150,95,FRONT,,360,0,1,,,0,0,,,,,,,,,,,,,,,,,,,,,,0,,,,
Solaris,thg_solaris,,Remnant,,,350,20,600,,175,0,,290,350,280,100,275,12,FRONT,,300,0,0.8,,,0,0,,,,,,,,,,,,,,,,,,,,,,0,,,,114
Accretion,thg_accretion,Heavy Droneship Carrier,Remnant,targetingfeed,12,9500,900,9000,8500,600,160,3,60,95,40,25,20,500,FRONT,,275,0.3,0.6,,,0,0,150,75,3,30,10,90000,5,15,560,0.25,17,17,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX, CARRIER","remnant, auto_rec",,0.5,2,3,,317
Rathaus,thg_rathaus,Drone Battlecarrier,Remnant,reservewing,35,24000,1200,20500,40000,1000,300,5,45,35,30,8,15,4000,OMNI,,200,0.4,0.6,,,0,0,500,250,12,50,8,550000,3,20,650,0.25,60,60,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX, SHIP_WITH_MODULES","remnant, auto_rec",,0.4,2,4,,509
