id,,
# NOTES,,
# Ship IDs entered here will be allowed for duplication.,,
# This feature is very hard to get working in campaign as a player, and lorewise, allows for duplication of even the most complex hulls.
kite_GM,,
kite_GMHQ,,
wolf_GM,,
wolf_GMHQ,,
lasher_GM,,
lasher_GMHQ,,
vigilance_GM,,
wayfarer_GM,,
wayfarer_GMs,,
sunder_GM,,
sunder_GMHQ,,
hammerhead_GM,,
hammerhead_GMHQ,,
condor_GM,,
tarsus_GM,,
tarsus_GMs,,
mule_GM,,
sagitus_GMs_C,,
sagitus_GMs_F,,
venture_GM,,
falcon_GM,,
onslaught_GM,,
