name,id,flux/second,f/s (base rate),f/s (base cap),flux/use,f/u (base rate),f/u (base cap),cr/u,max uses,regen,charge up,active,down,cooldown,toggle,noDissipation,noHardDissipation,hardFlux,noFiring,noTurning,noStrafing,noAccel,noShield,noVent,isPhaseCloak,tags,icon
Divine Jaunt,xhan_skipdrive,,,,,,0.1,,4,0.10,0,0,0.2,0.2,,TRUE,,TRUE,,,,,,,,,graphics/icons/hullsys/displacer.png
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xhantach Blast Drive,xhan_microburn,1,,,,,,,,,1,1.5,0.5,20,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,,,graphics/icons/hullsys/burn_drive.png
Urchin Jets,xhan_maneuvering,,,,,,,,,,1,10,1,20,,,,,,,,,,,,,graphics/icons/hullsys/maneuvering_jets.png
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xhantech Phase Cloak,xhan_phasecloak,,,,,,,,,,0.6,,0.4,2,TRUE,,TRUE,TRUE,TRUE,,,,TRUE,,TRUE,,graphics/icons/hullsys/phase_cloak.png
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xhantech EMP Flares,xhan_empflare,,,,,,0.1,,,,,,,10,,,,,,,,,,,,,graphics/icons/hullsys/active_flare_launcher.png
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xhantech Blast Flares,xhan_blastflare,,,,,,,,3,0.05,,,,6,,,,,,,,,,,,,graphics/icons/hullsys/flare_launcher.png
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Magnetic Impulse,XHAN_magneticimpulse,,,,,,0.15,,1,0.08,0.5,,1,,,,,,,,,,,,,,graphics/icons/hullsys/quantum_disruptor.png
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Temporal Lock,XHAN_TemporalLock,,,,,,0.15,,1,0.04,0.1,,7,,,,,,,,,,,,,,graphics/icons/hullsys/quantum_disruptor.png
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electro Shields,XHAN_ElectroChargedShields,,,,,,,,1,0.06,0.2,5,0.2,,,,,,,,,,,TRUE,,,graphics/icons/hullsys/damper_field.png
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missile Hyperforge,xhan_hyperforge,,,,,,0.95,,,,0.2,2,0.5,45,,,,,TRUE,,,,TRUE,,,,graphics/icons/hullsys/missile_autoforge.png
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phased Decoy Anomaly,PAMED_holodecoy,,,,,,0.1,,,,0.1,,3,15,,,,,,,,,,,,,graphics/icons/hullsys/active_flare_launcher.png
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chrono Displacer,PAMED_Teleport,,,,,,0.20,,,,o.3,0,0.2,15,,TRUE,,TRUE,,,,,,,,,graphics/icons/hullsys/displacer.png
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Temporal Shutter Drive,PAMED_TemporalDistortion,1,,,,,0.15,,,,0.3,1.4,5,5,,,,,,,,,,,,,graphics/icons/hullsys/temporal_shell.png
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy Optimization,XHAN_EnergyOpti,1,,,,,,,2,0.04,0.25,5,0.25,,,,,,,,,,,,,,graphics/icons/hullsys/high_energy_focus.png
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phase Hop,XHAN_PhaseHop,,,,,,,,,,0.25,,0.25,11,,TRUE,,TRUE,,,,,,,,,graphics/icons/hullsys/displacer.png
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bio-Chemical Flares,xhan_Chemflare,,,,,,,,3,0.06,,,,3,,,,,,,,,,,,,graphics/icons/hullsys/flare_launcher.png
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flare Reserves,xhan_FlareReserves,,,,,,,,2,0.05,,,,4,,,,,,,,,,,,,graphics/icons/hullsys/flare_launcher.png
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plasma Shell,xhan_damper,1,,,,,,,4,0.05,0.25,5,0.25,0,,,,,,,,,TRUE,TRUE,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chrono Phase Coils,XHAN_ChronoPhase,,,,,,,,,,0.6,,0.4,1.1,TRUE,,TRUE,TRUE,TRUE,,,,TRUE,,TRUE,,graphics/icons/hullsys/phase_cloak.png
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nous Field Manipulator,XHAN_MindControl,,,,,,0.1,,,,0.25,,0.25,10,,,,,,,,,,,,,graphics/icons/hullsys/interdictor_array.png
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turboburn,XHAN_TurboBurn,1,,,,,,,,,2,,1,10,TRUE,,,,,,,TRUE,TRUE,,,,graphics/icons/hullsys/burn_drive.png
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emergency Repairs,XHAN_EmergencyRepairs,,,,,,,,3,,1,10,1,25,,,,,,,,,,,,,graphics/icons/hullsys/interdictor_array.png
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Torch Drive,XHAN_TorchDrive,1,,,,,,,,,4,3,1,40,FALSE,,,,,,TRUE,TRUE,,,,,graphics/icons/hullsys/burn_drive.png
