name,id,designation,tech/manufacturer,system id,fleet pts,hitpoints,armor rating,max flux,8/6/5/4%,flux dissipation,ordnance points,fighter bays,max speed,acceleration,deceleration,max turn rate,turn acceleration,mass,shield type,defense id,shield arc,shield upkeep,shield efficiency,phase cost,phase upkeep,min crew,max crew,cargo,fuel,fuel/ly,range,max burn,base value,cr %/day,CR to deploy,peak CR sec,CR loss/sec,supplies/rec,supplies/mo,hints,tags,rarity,breakProb,minPieces,maxPieces,number,,,,,,,
Agolo,dpl_agolo_I,,Domain Phase Lab,,,100,10,300,,100,0,,325,500,450,180,360,10,OMNI,,180,0,1,,,1,1,,,,,,,,,,,,,,,0,,,,102,,,,,,,
Double Agolo,dpl_agolo_II,,Domain Phase Lab,,,200,20,800,,160,0,,285,450,400,180,360,10,OMNI,,180,0,1,,,2,2,,,,,,,,,,,,,,,0,,,,102,,,,,,,
Marimba,dpl_marimba_I,,Domain Phase Lab,,,400,25,400,,50,0,,160,200,200,30,120,40,OMNI,,120,0,1,,,4,4,,,,,,,,,,,,,,,0,,,,118,,,,,,,
Marimba Mk.II,dpl_marimba_II,,Domain Phase Lab,,,400,25,400,,50,0,,160,200,200,30,120,40,OMNI,,120,0,1,,,4,4,,,,,,,,,,,,,,,0,,,,118,,,,,,,
Choir,dpl_choir,,High Tech,,,750,100,80,,10,0,,200,400,350,90,180,30,OMNI,,160,0,1,,,1,1,,,,,,,,,,,,,,,0,,,,104,,,,,,,
Silent Guardian,dpl_silence_drone,,DPL Classified,,,100,10,300,,100,0,,325,500,450,180,360,10,OMNI,,180,0,1,,,0,0,,,,,,,,,,,,,,,0,,,,4,,,,,,,
Defensive Drone,dpl_gunboat,,DPL Classified,,,1000,150,750,,75,0,,240,300,300,180,360,200,OMNI,,360,0,1,,,0,0,,,,,,,,,,,,,,,0,,,,5,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bugle,dpl_bugle,Fleet Frigate,Domain Phase Lab,highenergyfocus,6,2000,400,3000,3125,250,50,,100,180,120,60,120,250,OMNI,,270,0.4,0.6,,,15,30,40,20,1,20,9,12000,8,10,300,0.25,6,6,,dpl_commercial_bp,0.7,0.5,2,2,207,,,,,,,
Ophicleide,dpl_ophicleide,Fleet Frigate,Domain Phase Lab,maneuveringjets,6,2000,400,3000,3125,250,50,,100,180,120,60,120,250,FRONT,,270,0.4,0.6,,,15,30,40,20,1,20,9,12000,8,10,300,0.25,6,6,,dpl_commercial_bp,0.7,0.5,2,2,208,,,,,,,
Silence,dpl_silence,Classified Frigate,DPL Classified,dpl_eternal_instant,25,2500,250,13500,6250,750,55,2,150,175,150,50,100,200,NONE,,,,,,,5,15,10,15,1,15,10,100000,8,40,240,0.25,25,25,HIDE_IN_CODEX,,,0.75,2,2,202,,,,,,,
Dirge,dpl_dirge,Classified Frigate,High Tech,dpl_mote_device,10,900,100,3000,3125,300,55,,100,220,175,120,360,100,OMNI,,360,0.3,1,,,2,10,30,15,1,15,9,100000,5,20,180,0.25,10,10,HIDE_IN_CODEX,,,0.75,2,2,203,,,,,,,
Lyre,dpl_lyre,Classified Frigate,DPL Classified,dpl_phase_enhanced_shield,10,900,100,3000,3125,300,55,,100,220,175,120,360,100,OMNI,,360,0.3,1,,,2,10,30,15,1,15,9,100000,5,20,180,0.25,10,10,HIDE_IN_CODEX,,,0.75,2,2,203,,,,,,,
Harmonica,dpl_harmonica,Phase Frigate,Domain Phase Lab,highenergyfocus,8,500,200,2500,4500,200,35,,155,100,100,50,120,600,PHASE,phasecloak,90,,,0.05,0.03,5,10,25,50,1,50,10,30000,10,40,180,0.25,8,8,,"dpl_experimental_bp, no_bp_drop, no_sell",0.6,0.5,2,2,209,,,,,,,
Piccolo,dpl_piccolo,Phase Frigate,Domain Phase Lab,dpl_fluxdisruptor,10,500,200,3000,5000,250,50,,165,120,100,50,120,500,PHASE,phasecloak,90,,,0.05,0.01,5,10,25,50,1,50,10,35000,10,40,180,0.25,10,10,,"dpl_navy_bp, no_bp_drop",0.6,0.5,2,2,210,,,,,,,
Flute,dpl_flute,Phase Frigate,Domain Phase Lab,highenergyfocus,10,500,300,3000,5000,250,50,,165,120,100,50,120,500,PHASE,phasecloak,90,,,0.05,0.01,5,10,25,50,1,50,10,35000,10,40,180,0.25,10,10,,dpl_commercial_bp,0.7,0.5,2,2,212,,,,,,,
Hydraulis,dpl_hydraulis,Torpedo Cruiser,Domain Phase Lab,maneuveringjets,16,4000,500,8500,15500,650,100,1,70,50,50,30,40,2000,OMNI,,180,0.4,0.6,,,135,320,135,150,3,50,10,150000,8,20,400,0.25,20,20,,"dpl_experimental_bp, no_bp_drop, no_sell",0.4,0.5,2,2,223,,,,,,,
Calliope,dpl_calliope,Support Cruiser,Domain Phase Lab,forgevats,14,4000,500,8500,15500,650,135,1,70,50,50,30,40,2000,OMNI,,180,0.4,0.6,,,135,320,135,150,3,50,10,100000,8,20,400,0.25,20,20,,dpl_commercial_bp,0.8,0.5,2,2,224,,,,,,,
Acumen,dpl_pioneer,Mobile Lab,Domain Phase Lab,flarelauncher_active,14,4000,500,12500,15500,750,100,1,70,50,50,30,40,2000,FRONT,,360,0.4,0.6,,,150,450,150,150,3,50,10,250000,8,20,400,0.25,20,20,,"dpl_experimental_bp, no_bp_drop, no_sell",0.4,0.5,2,2,225,,,,,,,
Acuity,dpl_innovator,Support Cruiser,Domain Phase Lab,maneuveringjets,14,4000,500,12500,15500,750,100,1,70,50,50,30,40,2000,FRONT,,360,0.4,0.6,,,150,450,150,150,3,50,10,250000,8,20,400,0.25,20,20,HIDE_IN_CODEX,,0.4,0.5,2,2,225,,,,,,,
Clarinet,dpl_clarinet,Phase Destroyer,Domain Phase Lab,dpl_fluxdisruptor,15,1200,250,4500,5500,350,75,,125,90,85,55,120,700,PHASE,phasecloak,90,,,0.1,0.015,5,15,30,60,1,50,10,35000,10,50,270,0.2,20,20,,,,0.5,2,2,241,,,,,,,
Oboe,dpl_oboe,Phase Destroyer,Domain Phase Lab,dpl_fluxdisruptor,15,1200,250,4000,5000,350,75,,120,85,80,60,125,800,PHASE,phasecloak,90,,,0.1,0.015,5,15,30,60,1,50,10,35000,10,40,270,0.2,20,20,,dpl_commercial_bp,0.75,0.5,2,2,252,,,,,,,
Trumpet,dpl_trumpet,Destroyer,Domain Phase Lab,dpl_phase_lightning,12,2000,250,5500,5800,400,100,,100,100,80,35,80,300,OMNI,,180,0.3,0.6,,,20,40,40,60,2,30,10,50000,5,20,300,0.25,12,12,,dpl_commercial_bp,0.7,0.5,2,3,253,,,,,,,
Flumpet,dpl_flumpet,Light Carrier,Domain Phase Lab,highenergyfocus,14,2000,250,5500,5800,400,100,2,100,100,80,35,80,300,OMNI,,180,0.3,0.6,,,20,40,40,60,2,30,10,50000,5,20,300,0.25,14,14,CARRIER,dpl_commercial_bp,0.7,0.5,2,3,254,,,,,,,
Flugelhorn,dpl_flugelhorn,Escort Destroyer,Domain Phase Lab,maneuveringjets,16,1500,200,4500,5800,400,120,,55,50,40,25,40,1200,FRONT,,300,0.6,1.2,,,20,40,40,60,2,30,10,50000,6,30,300,0.25,16,16,,"dpl_navy_bp, no_bp_drop",0.6,0.5,2,3,253,,,,,,,
Cornet,dpl_cornet,Elite Destroyer,Domain Phase Lab,dpl_fluxdisruptor,12,1200,200,4000,6667,350,100,,100,90,60,40,100,300,OMNI,,180,0.3,0.6,,,50,70,60,50,2,25,9,80000,5,20,300,0.25,18,18,,"dpl_experimental_bp, no_bp_drop, no_sell",0.4,0.5,2,3,262,,,,,,,
Baritone,dpl_baritone,Light Cruiser,Domain Phase Lab,dpl_energyfeed,14,3200,300,8000,12000,600,140,,95,100,80,30,60,650,OMNI,,180,0.5,0.7,,,60,120,60,80,3,27,9,120000,4,15,420,0.25,20,20,,dpl_commercial_bp,0.7,0.5,2,3,415,,,,,,,
Trombone,dpl_trombone,Fleet Carrier,Domain Phase Lab,reservewing,17,3000,300,5000,6000,300,120,4,80,60,40,20,25,800,OMNI,,180,0.5,0.8,,,150,250,90,60,3,20,8,120000,3,12,360,0.25,24,24,CARRIER,dpl_commercial_bp,0.7,0.5,2,3,407,,,,,,,
Mellophone,dpl_mellophone,Light Cruiser,Domain Phase Lab,microburn,14,3200,300,8000,12000,600,120,,80,50,25,25,25,650,OMNI,,180,0.5,0.7,,,60,120,60,80,3,27,9,120000,4,15,420,0.25,20,20,,dpl_commercial_bp,0.7,0.5,2,3,415,,,,,,,
Persean Express,dpl_persean_express,Armed Transport,Domain Phase Lab,burndrive,5,10000,1250,8000,6000,400,120,,40,15,10,12,6,1500,OMNI,,180,0.4,0.8,,,80,300,750,210,3,70,8,60000,5,10,540,0.25,15,15,,dpl_commercial_bp,0.95,0.4,2,3,402,,,,,,,
Euphonium,dpl_euphonium,Anti Air Cruiser,Domain Phase Lab,microburn,20,3500,300,10000,12000,700,100,,60,40,30,20,25,1000,FRONT,,360,0.4,0.6,,,150,450,400,200,2,100,8,140000,3,15,420,0.25,25,25,,"dpl_navy_bp, no_bp_drop",0.4,0.5,3,3,403,,,,,,,
Bassoon,dpl_bassoon,Phase Cruiser,Domain Phase Lab,highenergyfocus,23,3000,300,6000,20000,500,75,,55,25,25,15,30,2000,PHASE,phasecloak,90,,,0.1,0.03,100,150,150,200,4,50,9,200000,8,40,270,0.2,40,40,,,,0.5,2,3,263,,,,,,,
Tenoroon,dpl_tenoroon,Phase Cruiser,Domain Phase Lab,highenergyfocus,23,3000,300,6000,20000,500,100,,55,25,25,15,30,2000,PHASE,phasecloak,90,,,0.1,0.02,100,150,150,200,4,50,9,200000,8,40,270,0.2,40,40,,"dpl_navy_bp, no_bp_drop",0.5,0.5,2,3,274,,,,,,,
Tenoroon,dpl_tenoroon_dmtnt,Phase Cruiser,Domain Phase Lab,highenergyfocus,30,3000,300,6000,20000,500,70,,55,25,25,15,30,2000,PHASE,phasecloak,90,,,0.1,0.02,100,150,150,200,4,50,9,200000,8,40,270,0.2,40,40,"UNBOARDABLE, HIDE_IN_CODEX",no_bp_drop,0.5,0.5,2,3,274,,,,,,,
Panpipes,dpl_panpipes,Phase Cruiser,Domain Phase Lab,dpl_mote_strike,23,3000,300,6000,20000,500,80,,50,25,25,15,30,2000,PHASE,phasecloak,90,,,0.1,0.02,100,150,150,200,4,50,9,200000,8,40,270,0.2,40,40,HIDE_IN_CODEX,no_bp_drop,0.5,0.5,2,3,274,,,,,,,
Tuba,dpl_tuba,Heavy Cruiser,Domain Phase Lab,plasmajets,20,4000,500,12000,16000,800,165,,80,50,25,25,25,1800,FRONT,,300,0.5,0.8,,,75,200,150,90,3,30,8,200000,4,20,420,0.25,30,30,,dpl_commercial_bp,0.6,0.6,2,3,405,,,,,,,
Sousaphone,dpl_sousaphone,Battle Cruiser,Domain Phase Lab,maneuveringjets,24,3500,300,8000,16000,600,180,,50,30,20,15,15,2250,OMNI,,180,0.6,1.4,,,150,250,200,120,4,30,7,350000,4,20,420,0.25,35,35,,"dpl_navy_bp, no_bp_drop",0.45,0.6,2,3,405,,,,,,,
Saxophone,dpl_saxophone,Battle Cruiser,Domain Phase Lab,maneuveringjets,26,5400,350,12000,16000,1000,260,,40,20,15,8,5,3800,OMNI,,180,0.6,1.6,,,400,600,400,400,10,40,8,450000,4,20,600,0.25,40,40,,"dpl_navy_bp, no_bp_drop",0.4,0.6,2,3,406,,,,,,,
Jazzophone,dpl_jazzophone,Battle Cruiser,Domain Phase Lab,temporalshell,26,4500,300,12500,16000,1000,260,,40,20,15,8,5,3800,OMNI,,180,0.4,1.4,,,400,600,400,400,10,40,8,450000,4,20,600,0.25,40,40,,"dpl_domain_bp, no_bp_drop",0.4,0.6,2,3,406,,,,,,,
Lab Onslaught,dpl_onslaught_alt,Battleship,Domain Phase Lab,burndrive,30,20000,1600,18000,15000,800,360,,30,10,10,4,4,3500,FRONT,,180,0.4,0.8,,,750,1500,300,400,15,27,7,350000,3,12,720,0.25,40,40,,"dpl_navy_bp, no_bp_drop",0.5,0.4,2,4,500,,,,,,,
Lion Anthem,dpl_lion_anthem,Battleship,Lion's Guard,highenergyfocus,30,17000,1500,14000,12500,550,350,,35,35,25,6,6,3000,FRONT,,270,0.8,0.8,,,500,600,400,300,10,30,7,400000,4,12,720,0.25,50,50,,,0.4,0.5,2,4,512,,,,,,,
Sarrusophone,dpl_sarrusophone,Battleship,Domain Phase Lab,highenergyfocus,30,10000,800,13500,25000,1050,300,,45,25,20,8,5,2500,OMNI,,180,0.5,1.2,,,400,800,400,450,8,56,8,500000,4,20,600,0.25,50,50,,"dpl_navy_bp, no_bp_drop",0.5,0.4,2,4,503,,,,,,,
Aulochrome,dpl_aulochrome,Battleship,Domain Phase Lab,dpl_energyfeed,35,16000,1200,26000,32000,1350,360,,40,10,10,8,5,3500,OMNI,,360,0.6,0.6,,,400,1000,300,300,10,30,7,600000,4,20,720,0.25,60,60,,"dpl_domain_bp, no_bp_drop, no_sell",0.4,0.6,2,4,504,,,,,,,
Aulochrome,dpl_aulochrome_salazar,Battleship,Domain Phase Lab,dpl_energyfeed,35,16000,1200,30000,32000,1650,240,,40,10,10,8,5,3500,OMNI,,360,0.6,0.6,,,400,1000,300,300,10,30,7,600000,4,20,720,0.25,60,60,"SHIP_WITH_MODULES, UNBOARDABLE, HIDE_IN_CODEX",,,0.6,2,4,504,,,,,,,
Orchestra,dpl_orchestra,Super Flagship,Domain Phase Lab,burndrive,50,25000,2000,26000,32000,1350,360,,25,5,5,3,2,6000,PHASE,dpl_relativity_targeting,0,0,0,,,600,1500,1200,800,20,40,6,1500000,4,20,720,0.25,100,100,"SHIP_WITH_MODULES, HIDE_IN_CODEX",no_bp_drop,0.1,0.6,2,4,504,,,,,,,
Orchestra,dpl_orchestraB,Super Flagship,Domain Phase Lab,burndrive,50,25000,2000,26000,32000,1350,360,,25,5,5,3,2,8000,PHASE,dpl_relativity_targeting,0,0,0,,,600,1500,1200,800,20,40,6,1500000,4,20,720,0.25,100,100,"SHIP_WITH_MODULES, HIDE_IN_CODEX",no_bp_drop,0.1,0.6,2,4,504,,,,,,,
