id,name,content,group
al_tip_general_1,A-L's Common Knowledge#1,Visit Appro-Light's @[markets] and @[bars] for some strange events.,tips
al_tip_general_2,A-L's Common Knowledge#2,Align yourself with the Light; @[commission with Appro-Light] for a greater experience of the Appro-Light content.,tips
al_tip_corrision_1,Fire Corrosion#Basic Concepts,"@[Fire Corrosion] is a phenomenon that may occur when some Appro-Light weapons hit the hull of an enemy ship, which causes sustained damage to armor in the hit area. The total damage depends on the armor resistance of the target point at the time the corrosion is triggered (this damage depends on the @[armor damage formula], @[calculate the incremental benefit] of the armor's damage reduction, @[do not calculate] additional effective armor, minimum damage reduction, maximum damage reduction, etc.). Damage and duration are combined when the hit areas are close enough together. Some weapons with Fire Corrosion can cross armor and deal direct damage to @[hull], and these damages are only affected by hull resistance.
A @[weapon] with Fire Corrosion will have a specific tip applied, i.e.
Fire Corrosion: [total @[500] damage / duration @[3] seconds / radius @[100] / chance @[33%]]
Where radius of effect means that the armor in the area will be burned, but only the hull value and nearby armor cells are considered in the trigger calculation (i.e. armor damage formula).",tips
al_tip_corrision_2,Fire Corrosion#Advanced Concepts,"If you are attacked near a location that is being damaged by @[Fire Corrosion], the damage of this attack is increased. The amount of this increase depends on the damage per second of the corrosion at the current location, up to @[10% extra]. If all armor is lost at the location damaged by Fire Corrosion, it does @[not do any substantial damage], but still @[counts as doing damage] for the purposes of the damage buff.",tips
al_7_01,The Mystery of Number Seven #1,"""I don't know if you've noticed,"" the officer said, sounding a little hesitant, ""but Originem is particularly fond of the number seven. He always receives foreign guests and works in @[Unos Station] on @[the seventh day of every month]. Even when he's in a pickle, he'll be seen in the station..."" Realizing the apparent contradiction, they add: ""Hang on, that guy, is that really Originem...?""",AL
al_7_02,The Mystery of Number Seven #2,"""You're curious about the captains of those unique warships, huh? "" looked you up and down with unbelieving eyes, the speaker grunted lightly ""Well, they're mostly minions of megacorporations, with a strong network of intel. You know the son of the mayor of Syndicate City and the chief of Flamut, on the 7th of every month they have the opportunity to meet with Originem on the Unos space station, and they are said to receive @[exclusive missions]. You also have a chance, provided you become a little ...mmmmmmm... richer.""",AL
al_7_03,The Mystery of Number Seven #3,"""My friend, although everyone buys clones and bionics from the black market, you must not know the source, ha, I'm telling you secretly, these come from the Oringinem's genome."" The channel was suddenly disturbed by the noise, and became a bit unstable, ""Damn that #### Arborea firmware... Back to the topic. There's a rumor has been swirling for a long time. Jormungandr was seen going to the Unos space station on the 7th, and the next day there was a @[female officer] in his flagship that looked like Originem --- wait what the heck going ---"" transmission lost***",AL
al_il_01,Immortal-Light #1,"""It's those guys' fault..."" At the mention of Immortal-Light, the speaker's expression lost control for a moment, ""What a damn experiment, I think those scientists just pushing us to be slaughtered! For god sake why they took over that Great Holy Grail, That is just a insane creature of Knights Arbiter, can they figure it out just by doing these useless experiments? What the hell! Now we have to guard against defections day by day, everyone going to the Unos space station is fear of being infected by that damned god virus... Now they've even taken over @[Chaos Rift], if @[Higgs] wasn't there..."" The officer probably realizing he'd said too much, fell silent.",AL
al_il_02,Immortal-Light #2,"""Immortal-Light fleets are getting harder to handle recently..."" Talking about patrols, the councillor sounded a bit down. ""Keel---They're growing their fleet through battlefield salvage, and there's little we can do to stop them. As we invest more and more, they keep getting stronger, but it can't be helped, they're strengthening themselves by brainwashing our ships, but we have more to lose if we don't fight back... it's a vicious cycle. The only good thing is that their fleets return to the Chaos Rift and emerge with @[Prime Materials] in their cargo holds, so at least we don't have to go deep into enemy territory to acquire them...""",AL
al_il_03,Immortal-Light #3,"""Show me system map..."" With a wave of left hand, the speaker opened a side screen and zoomed in ""See this huge purple nebula in this system, inside it's called the Chaos Rift, God knows how it came to be. There's a planet around it called @[Seker], but for some reason Kukulcan has blocked all information... Obviously, he wasn't trying to hide the existence of Prime ships there, and everyone knew that @[Golden Factory] # in the Chaos Rift could create those shining ships from those Prime Materials, but the huge fleet of Immortal-Light ships next to the Chaos Rift was impossible to ignore... Why on earth...""",AL
