name,id,designation,tech/manufacturer,system id,fleet pts,hitpoints,armor rating,max flux,8/6/5/4%,flux dissipation,ordnance points,fighter bays,max speed,acceleration,deceleration,max turn rate,turn acceleration,mass,shield type,defense id,shield arc,shield upkeep,shield efficiency,phase cost,phase upkeep,min crew,max crew,cargo,fuel,fuel/ly,range,max burn,base value,cr %/day,CR to deploy,peak CR sec,CR loss/sec,supplies/rec,supplies/mo,c/s,c/f,f/s,f/f,crew/s,crew/f,hints,tags,rarity,breakProb,minPieces,maxPieces,travel drive,number
#FIGHTERS/DRONES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Defense Drone,fed_pd_basic,Defense Drone,Star Federation,,0,75,10,250,,35,0,,400,1000,1000,500,1000,1,NONE,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,13100
Defense Drone II,fed_pd_elite,Advanced Defense Drone,Star Federation,,0,50,10,500,,75,0,,400,1000,1000,500,1000,1,NONE,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,13101
Omnidrone,fed_kdrone,Drone,Star Federation,flarelauncher_single,0,900,100,1000,,200,0,,200,200,180,270,380,100,NONE,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,13102
,fed_firestream,Firestream,Star Federation,flarelauncher_single,0,800,125,300,,50,0,,170,170,150,270,330,40,NONE,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,0,,,,13103
,fed_tsunami,Tsunami,Star Federation,flarelauncher_single,0,600,100,600,,50,0,,190,260,160,300,400,45,NONE,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,0,,,,13104
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#FRIGATES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brane,fed_talos,Frigate,Star Federation,fed_weapon_charger,5,1750,250,3750,,250,50,,110,130,110,110,135,150,FRONT,,210,0.3,0.9,,,10,20,30,60,1,60,11,12000,6,20,240,0.25,5,5,,,,,,,,"fed_com, fed_mid",,0.5,0,0,fed_traveldrive_frigate,13107
Byte,fed_byte,Corvette,Star Federation,fed_enginebattery,5,1750,200,2500,,225,50,,130,150,130,120,160,100,FRONT,,270,0.2,0.8,,,8,16,25,50,1,50,11,10000,8,24,240,0.25,4,4,,,,,,,,"fed_com, fed_mid",,0.5,0,0,fed_traveldrive_frigate,13108
Bell,fed_tern,Frigate,Star Federation,flarelauncher_active,6,2000,250,5000,,300,55,,120,140,115,100,130,175,FRONT,,270,0.4,0.9,,,30,75,40,70,1,70,10,20000,6,20,270,0.25,7,7,,,,,,,,"fed_com, fed_mid",,0.5,0,0,fed_traveldrive_frigate,13109
Colubris,fed_colubris,Advanced Frigate,Star Federation,fed_powersurge,7,1500,200,3500,,275,65,,115,110,90,120,150,175,FRONT,,360,0.4,0.8,,,25,60,50,90,1,90,11,45000,5,30,240,0.25,8,8,,,,,,,,fed_mil,0.5,0.7,0,0,fed_traveldrive_frigate,13110
Hirondelle,fed_superkite,Combat Transport,Star Federation,maneuveringjets,4,1250,150,3000,,200,45,,110,130,120,110,125,150,OMNI,,180,0.35,1,,,25,150,80,70,1,70,11,22000,8,24,240,0.25,4,4,,,,,,,"FREIGHTER,COMBAT","fed_log, fed_mid,merc",0.5,0.7,0,0,fed_traveldrive_frigate,13111
#DESTROYERS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Egret,fed_medcombtanker,Combat Logistical,Star Federation,maneuveringjets,7,5500,500,5000,,250,90,1,70,70,60,20,15,700,OMNI,,120,0.4,0.8,,,50,200,200,400,2,200,8,45000,8,24,360,0.25,9,9,,,,,,,"COMBAT, CIVILIAN, FREIGHTER",fed_log,,0.6,0,0,fed_traveldrive_destroyer,13113
Invader,fed_lightdestroyer,Fast Destroyer,Star Federation,microburn,10,4000,400,6000,,350,85,,80,80,70,50,90,600,FRONT,,270,0.25,0.8,,,50,70,50,100,2,50,10,25000,6,20,360,0.25,9,9,,,,,,,,"fed_com, fed_mid, fed_mil, merc",,0.7,0,0,fed_traveldrive_destroyer,13114
Cormorant,fed_cormorant_old,Bomber Destroyer,Star Federation,fed_powersurge_bomber,10,6000,800,5000,,325,100,,65,60,55,40,40,750,FRONT,,270,0.3,0.9,,,60,110,75,120,3,40,9,55000,6,20,420,0.25,12,12,,,,,,,,"fed_mid, fed_com, merc",0.1,0.4,0,0,fed_traveldrive_destroyer,13115
Daptrius,fed_cormorant,Destroyer,Star Federation,highenergyfocus,12,4000,600,9000,,350,110,,90,70,60,35,55,700,FRONT,,270,0.4,1.3,,,60,110,75,120,3,40,9,40000,5,25,420,0.25,11,11,,,,,,,,"fed_mid, fed_mil, merc",0.25,0.6,0,0,fed_traveldrive_destroyer,13116
Centa,fed_rigger,Carrier,Star Federation,fed_powersurge_bomber,12,4000,300,2500,,150,80,3,50,35,30,20,35,350,FRONT,,180,0.3,0.8,,,45,90,100,100,2,50,9,35000,5,25,360,0.25,12,12,,,,,,,CARRIER,"fed_mid, fed_mil",0.1,0.5,0,0,fed_traveldrive_destroyer,13117
Brava,fed_rigger_firesupport,Gun Destroyer,Star Federation,fed_weapon_charger,11,5000,500,5500,,275,95,,75,55,50,30,45,400,FRONT,,270,0.5,1,,,40,60,50,100,2,50,9,45000,5,20,420,0.25,11,11,,,,,,,,"fed_com, fed_mid, merc",,0.5,0,0,fed_traveldrive_destroyer,13118
Super Buffalo,fed_superbuffalo,Freighter,Star Federation,fed_enginebattery,4,3000,175,1500,,70,40,,50,25,20,15,7,500,OMNI,,120,0.5,1,,,20,40,400,100,2,50,9,35000,5,20,240,0.25,5,5,133,200,,,,,"FREIGHTER, CIVILIAN","fed_log, merc",,0.7,0,0,fed_traveldrive_destroyer,13119
Emerillon ,fed_superdestroyer,Advanced Destroyer,Star Federation,fed_powersurge,14,4500,450,9000,,600,90,,70,60,50,40,65,400,FRONT,,270,0.3,0.8,,,45,100,50,100,2,50,9,100000,4,24,420,0.25,18,18,,,,,,,,fed_mil,0.5,0.6,0,0,fed_traveldrive_destroyer,13120
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#CRUISERS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bison,fed_heavyfreighter,Freighter,Star Federation,fed_enginebattery,7,6000,800,5000,,200,90,,60,30,20,10,10,1500,OMNI,,120,0.4,1,,,90,140,1100,120,3,40,7,60000,8,24,420,0.25,10,10,,,,,,,"FREIGHTER, CIVILIAN","fed_log, merc",,0.7,0,0,fed_traveldrive_cruiser,13121
Nesasio,fed_stealth,Infiltrator,Star Federation,fed_enginebattery,25,7000,1300,14000,,900,170,,70,60,50,25,30,900,PHASE,fed_cloak,,,,0.04,0.04,80,120,150,150,3,50,9,190000,5,20,540,0.25,30,30,,,,,,,PHASE,"fed_mil,merc",0.5,0.7,0,0,fed_traveldrive_cruiser,13122
Kestrel,fed_kestral,Cruiser,Star Federation,burndrive,16,8500,1000,9000,,600,165,1,40,25,30,12,16,1300,FRONT,,270,0.35,0.9,,,110,180,250,250,5,50,8,120000,8,24,540,0.25,25,25,,,,,,,SHIP_WITH_MODULES,"fed_com, fed_mid",,0.5,0,0,fed_traveldrive_cruiser,13123
,fed_kestral_armor,Prow Armor,Star Federation,,1,4250,1000,1,,1,1,,1,1,1,1,1,400,NONE,,,,,,,0,0,0,0,0,10,8,0,100,1,,0.25,0,0,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX","no_autofit,module_unselectable,module_refit_bright,module_hull_bar_only",,1,3,4,,13148
Jager,fed_raptor,Cruiser,Star Federation,fed_powersurge_bomber,17,9000,800,9000,,500,170,,45,25,30,14,19,1200,FRONT,,210,0.35,1,,,120,180,150,200,4,50,8,150000,5,20,420,0.25,25,25,,,,,,,SHIP_WITH_MODULES,"fed_com, fed_mid, fed_mil",,0.6,0,0,fed_traveldrive_cruiser,13124
,fed_raptor_modshield,Jager Shield Emitter,Star Federation,fed_drone_pd_2x,1,2000,200,5000,,100,1,,1,1,1,1,1,200,FRONT,,360,0,1,,,0,0,0,0,0,10,8,0,100,1,,0.25,0,0,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX","no_autofit,module_unselectable,module_refit_bright",,0,0,0,,13128
Osprey,fed_osprey,Cruiser,Star Federation,canister_flak,17,8500,900,11000,,800,160,,50,20,25,10,13,1100,FRONT,,300,0.3,0.7,,,140,200,175,200,5,40,8,160000,6,20,540,0.25,28,28,,,,,,,,fed_mil,0.25,0.7,0,0,fed_traveldrive_cruiser,13125
Calvacade,fed_cruisercarrier,Carrier,Star Federation,fed_battlemode,18,8000,700,8000,,500,170,3,50,25,20,14,21,1100,FRONT,,270,0.35,0.9,,,180,360,200,200,5,40,8,155000,6,20,540,0.25,26,26,,,,,,,"CARRIER,COMBAT","fed_com, fed_mid",,0.6,0,0,fed_traveldrive_cruiser,13126
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#CAPITALS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Union,fed_flagship,Battlecarrier,Star Federation,fed_battlemode,30,11000,1250,14000,,700,275,4,40,20,15,12,5,2750,OMNI,,180,0.5,0.7,,,450,1000,500,500,10,50,9,250000,3,15,660,0.25,40,40,,,,,,,"SHIP_WITH_MODULES, WEAPONS_FRONT_TO_BACK","fed_cap,fed_mid",,0.6,0,0,fed_traveldrive_capital,13129
Accordant,fed_flagship_assault,Battlecruiser,Star Federation,fed_interdictor,32,12500,1400,17000,,900,280,,50,20,15,14,6,2500,FRONT,,210,0.4,0.8,,,400,800,300,250,10,25,8,275000,3,15,660,0.25,45,45,,,,,,,SHIP_WITH_MODULES,"fed_cap, fed_mil",,0.7,0,0,fed_traveldrive_capital,13130
,fed_flagship_sideshield,Auxilliary Shield Emitter,Star Federation,fed_drone_pd_2x,1,2000,200,5000,,100,1,,1,1,1,1,1,200,FRONT,,360,0,1,,,0,0,0,0,0,10,8,0,100,1,,0.25,0,0,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX","no_autofit,module_unselectable,module_refit_bright",,0,0,0,,13131
Resolute,fed_superkestrel,Battleship,Star Federation,fed_weapon_charger,32,18000,1600,17000,,750,320,2,40,10,8,4,4,4000,NONE,,,,,,,600,1200,700,360,9,40,7,300000,3,12,720,0.25,50,50,,,,,,,SHIP_WITH_MODULES,"fed_com, fed_cap",,0.4,0,0,fed_traveldrive_capital,13132
,fed_superkestrel_nosearmor,Prow Armor,Star Federation,,1,6000,1000,1,,1,1,,1,1,1,1,1,800,NONE,,,,,,,0,0,0,0,0,10,7,0,100,1,,0.25,0,0,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX","no_autofit,module_unselectable,module_refit_bright,module_hull_bar_only",,1,3,5,,
,fed_superkestrel_emitter,Auxilliary Shield Emitter,Star Federation,fed_drone_pd_2x,1,2000,200,10000,,150,1,,1,1,1,1,1,200,FRONT,,360,0,1,,,0,0,0,0,0,10,7,0,100,1,,0.25,0,0,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX","no_autofit,module_unselectable,module_refit_bright",,0,0,0,,13133
Rebellion,fed_boss,Battleship,Star Federation,fed_powersurge_boss,30,16000,1700,22000,,1200,310,2,25,10,8,8,3,4000,FRONT,,180,0.35,0.8,,,500,1000,500,220,11,20,7,350000,3,15,720,0.25,60,60,,,,,,,SHIP_WITH_MODULES,fed_elite,,0.5,0,0,fed_traveldrive_capital,13134
,fed_boss_shieldemitter,Auxilliary Shield Emitter,Star Federation,fed_drone_pd_2x,1,2000,200,5000,,100,1,,1,1,1,1,1,200,FRONT,,360,0,1,,,0,0,0,0,0,10,7,0,100,1,,0.25,0,0,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX","no_autofit,module_unselectable,module_refit_bright,module_hull_bar_only",,0,0,0,,13135
,fed_boss_wing_left,Left Armor,Star Federation,,1,3000,1000,1,,1,1,,1,1,1,1,1,400,NONE,,,,,,,0,0,0,0,0,10,7,0,100,1,,0.25,0,0,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX","no_autofit,module_unselectable,module_refit_bright,module_hull_bar_only",,0,2,3,,13146
,fed_boss_wing_right,Right Armor,Star Federation,,1,3000,1000,1,,1,1,,1,1,1,1,1,400,NONE,,,,,,,0,0,0,0,0,10,7,0,100,1,,0.25,0,0,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX","no_autofit,module_unselectable,module_refit_bright",,0,2,3,,13147
Perseverance,fed_cargocap,Fleetship,Star Federation,burndrive,40,15000,1500,15000,,750,300,1,20,10,8,5,3,5000,OMNI,,120,0.3,0.8,,,2000,4000,2000,1500,10,150,7,500000,4,20,900,0.25,75,75,,,,,,,"SHIP_WITH_MODULES, FREIGHTER, COMBAT","fed_log, fed_cap",0.5,0.5,0,0,fed_traveldrive_capital,13136
,fed_cargocap_shieldemitter,Fleetshield Emitter,Star Federation,,0,5000,1000,50000,,500,,,1,1,1,1,1,200,FRONT,,360,0,1,,,0,0,0,0,0,10,8,0,100,1,,,0,0,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX","no_autofit,module_unselectable,module_refit_bright",,0,0,0,,13137
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#LOST SHIPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
