name,id,flux/second,f/s (base rate),f/s (base cap),flux/use,f/u (base rate),f/u (base cap),cr/u,max uses,regen,charge up,active,down,cooldown,toggle,noDissipation,noHardDissipation,hardFlux,noFiring,noTurning,noStrafing,noAccel,noShield,noVent,isPhaseCloak,tags,icon
Structural Analyzer,al_tacticalscan,,,,,,0.3,,,,0.5,10,1,10,,,,,,,,,,,,,graphics/icons/hullsys/entropy_amplifier.png
Glow Test,al_fluxoverride,,,,,,0.3,,,,0.5,10,1,10,,,,,,,,,,,,,graphics/icons/hullsys/entropy_amplifier.png
Plasma Injector,al_plasmainjector,0,,,,,,,2,0.2,0.1,1,2,1,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,,,graphics/icons/hullsys/burn_drive.png
Chaff Launcher,al_chafflauncher,,,,,,,,2,0.05,,,,5,,,,,,,,,,,,,graphics/icons/hullsys/flare_launcher.png
M.O.E. Array,al_offensiveovercharge,,,,,,,,,,1,5,1,10,,,,,,,,,,,,,graphics/icons/hullsys/ammo_feeder.png
Offensive Overcharge,al_kingsfury,,,,,,,,,,1,3,1,10,,,,,,,,,,,,,graphics/icons/hullsys/ammo_feeder.png
EMP,al_empdrone,1,,,,,0.2,,,,0,0.3,0,6,,,,,TRUE,,,,,,,,graphics/icons/hullsys/emp_emitter.png
EMP,al_empdrone2,1,,,,,0.2,,,,0,0.3,0,6,,,,,TRUE,,,,,,,,graphics/icons/hullsys/emp_emitter.png
Electromagnetic Overload,al_magneticoverload,1,,,,,,,,,2,4,2,5,,,,,,,,,,,,,graphics/icons/hullsys/burn_drive.png
Magnetized Plating,al_magplating,1,,,,,,,2,0.05,0.25,3,0.25,0,,,TRUE,,TRUE,,,,TRUE,TRUE,,,graphics/icons/hullsys/damper_field.png
Electromagnetic Overload,al_magneticoverloadc,1,,,,,,,,,2,4,2,5,,,,,,,,,,,,,graphics/icons/hullsys/burn_drive.png
Phase Dive,loa_burstphase,,,,,,,,2,0.05,0.5,3,0.5,1,,,TRUE,TRUE,TRUE,,,,TRUE,,,,graphics/icons/hullsys/phase_cloak.png
Alastair's Web,loa_alastairsweb,,,,,,0.05,,5,0.1,0.25,,0.25,0,,,,,,,,,,,,,graphics/icons/hullsys/interdictor_array.png
Alastair's Web,loa_osmondsweb,,,,,,0.05,,5,0.1,0.25,,0.25,0,,,,,,,,,,,,,graphics/icons/hullsys/interdictor_array.png
Alastair's Web,loa_stationweb,,,,,,0.05,,5,0.1,0.25,,0.25,0,,,,,,,,,,,,,graphics/icons/hullsys/interdictor_array.png
AWACS,loa_awacs,,,,,,0.3,,,,1,,1,10,TRUE,,TRUE,TRUE,,,,,TRUE,,,,graphics/icons/hullsys/ammo_feeder.png
Omni Loader,loa_moe,,,0.025,,,,,,,1,,1,10,TRUE,,TRUE,TRUE,,,,,,,,,graphics/icons/hullsys/ammo_feeder.png
Gailard's Fist,loa_gailardfist,,,0.025,,,,,,,4,,1,10,TRUE,,TRUE,TRUE,,,,,,,,,graphics/icons/hullsys/ammo_feeder.png
Heavy Flak Mines,loa_flakmine,,,,,,0.1,,3,0.15,0.25,,0.25,0,,,,,,,,,,,,,graphics/icons/hullsys/interdictor_array.png
Hot Swap Missile Racks,loa_hotracks,,,,,,0.4,,,,3,0.01,0.01,1,,,,,,,,,,,,,graphics/icons/hullsys/interdictor_array.png
Class 1 Warspeed,loa_warspeed,,0.2,,,,,,,,1,,2,5,TRUE,,,,,,,,,,,,graphics/icons/hullsys/burn_drive.png
Class 3 Warspeed,loa_warspeed3,,0.2,,,,,,,,1,,2,5,TRUE,,,,,,,,,,,,graphics/icons/hullsys/burn_drive.png
Redline,loa_redline,,,,,,,,,,3,2,10,3,,,,,,,,,,,,,graphics/icons/hullsys/burn_drive.png
Ammo Swap,loa_ammo_swap,,,,,,,,2,,0.5,0.01,0.01,4,,,,,,,,,,,,,graphics/icons/hullsys/interdictor_array.png
Flak Curtain,loa_flakcurtain,,,,,,,,2,0.075,0,3,0,0.25,,,,,,,,,,,,,graphics/icons/hullsys/interdictor_array.png
Shock jump,loa_savior_system,,,,,,0.2,,,,5.1,0,3.1,35,,TRUE,,TRUE,TRUE,,TRUE,TRUE,TRUE,TRUE,,,graphics/icons/hullsys/displacer.png
Big Mac Attack,loa_bigmac_system,1,,,,,,,2,0.1,1,1,2,0.5,,,,,,,,,,,,,graphics/icons/hullsys/burn_drive.png
Missile Autofactory,loa_missileManufactorum,,,0.02,,,,,,,1,,1,15,TRUE,,TRUE,TRUE,TRUE,,,,,,,,graphics/icons/hullsys/ammo_feeder.png
Massive Burn,loa_massivethrusters,1,,,,,,,,,1,15,5,30,,,,,,,TRUE,TRUE,,,,,graphics/icons/hullsys/burn_drive.png
Regolith Drones,loa_asteroid_drone,,,,,,,,3,,0,0.3,0,6,,,,,TRUE,,,,,,,,graphics/icons/hullsys/emp_emitter.png
