name,id,designation,tech/manufacturer,system id,fleet pts,hitpoints,armor rating,max flux,8/6/5/4%,flux dissipation,ordnance points,fighter bays,max speed,acceleration,deceleration,max turn rate,turn acceleration,mass,shield type,defense id,shield arc,shield upkeep,shield efficiency,phase cost,phase upkeep,min crew,max crew,cargo,fuel,fuel/ly,range,max burn,base value,cr %/day,CR to deploy,peak CR sec,CR loss/sec,supplies/rec,supplies/mo,hints,tags,rarity,breakProb,minPieces,maxPieces,number
Pulse (C),pulse_drone_civ,,Ko Combine,,,350,75,200,,50,0,,300,400,400,200,400,5,NONE,,0,0,0,,,0,0,,,,,,,,,,,,,,,,0,,,4
Pulse,pulse_drone,,Bhilai Astra,,,400,100,200,,50,0,,300,400,400,200,400,5,NONE,,0,0,0,,,0,0,,,,,,,,,,,,,,,,0,,,4
Ward,google_ward,,High Tech,,,300,50,250,,50,0,,250,350,300,120,240,20,OMNI,,160,0,1,,,0,0,,,,,,,,,,,,,,,0,,,,112
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Koc Exports,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Strix,strix,Frigate,Midline,fortressshield,5,1500,175,4000,1500,120,35,,90,120,100,60,120,200,FRONT,,300,0.5,0.8,,,15,30,30,20,1,20,10,25000,8,10,360,0.25,6,6,,"rare_bp, independent, KoC_Export, persean,",,0.5,2,2,214
Prospector,prospector,Drone Tender,Midline,drone_strike,6,1500,200,1500,1700,100,35,1,100,120,70,100,180,260,OMNI,,120,0.4,1,,,15,30,80,50,1,50,9,15000,6,20,240,0.25,3,3,CARRIER,"rare_bp, independent, KoC_Export, persean,",,0.5,2,2,216
Buffalo (C),buffalo_c,Drone Tender,Low Tech,drone_strike,8,3000,350,3000,2800,150,70,1,80,60,40,25,30,300,OMNI,,120,0.5,1,,,40,100,200,80,2,40,8,25000,5,10,240,0.25,8,8,CARRIER,"rare_bp, independent, KoC_Export, persean",,0.6,2,3,308
Atlas (C),atlas_c,Supercarrier,Low Tech,reservewing,28,10000,700,8000,5000,250,185,7,25,5,2,3,2,4000,OMNI,,120,0.7,1,,,100,500,2000,400,6,67,6,75000,2,20,720,0.25,35,35,CARRIER,"rare_bp, independent, KoC_Export, luddic_church, only_allow_automated_fighters",,0.7,2,4,502
Pranker,pranker,Tanker,Low Tech,burndrive,9,6000,750,4500,5000,250,70,,50,25,15,15,10,2200,OMNI,,130,0.5,1.2,,,30,60,100,2000,4,500,7,52000,4,20,500,0.25,7,7,"CIVILIAN, TANKER","rare_bp, independent, KoC_Export, hegemony, sindrian_diktat",,0.75,3,4,408
# (+ 6 skins),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Mbaye Gogle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Defender (MbG),google_defender,Drone,Mbaye-Gogol,canister_flak,3,1800,350,750,1250,100,45,,100,90,90,90,110,160,NONE,,270,0.4,0.8,,,0,0,20,20,1,20,9,10000,5,5,480,0.25,3,3,,"no_auto_penalty, rare_bp, mbaye, always_recoverable, no_sell, no_dealer, no_drop_salvage",,0.5,2,2,223
Bastillon (MbG),google_bastillon,Drone,Mbaye-Gogol,canister_flak,6,4500,550,3500,3125,250,90,,60,40,20,20,20,400,NONE,,270,0.4,0.8,,,0,0,80,40,2,20,8,40000,5,10,540,0.25,6,6,,"no_auto_penalty, rare_bp, mbaye, always_recoverable, no_sell, no_dealer, no_drop_salvage",,0.5,2,3,315
Shade (MbG),google_shade,Phase Frigate,Mbaye-Gogol,mine_strike,10,1750,400,2500,3750,300,50,,165,120,100,60,120,200,PHASE,phasecloak,90,,,0.05,0.05,10,15,25,50,1,50,10,40000,10,20,180,0.25,8,8,,"rare_bp, mbaye,",,0.5,2,2,211
Afflictor (MbG),google_afflictor,Phase Frigate,Mbaye-Gogol,mine_strike,11,1500,400,3000,5000,400,50,,165,120,100,60,120,200,PHASE,phasecloak,90,,,0.03,0.04,5,10,25,50,1,50,10,42000,10,20,180,0.25,10,10,,"rare_bp, mbaye",,0.5,2,2,210
Phantom (MbG),google_phantom,Phase Destroyer,Mbaye-Gogol,mine_strike,9,3000,500,4000,5000,400,60,,90,90,70,45,60,350,PHASE,phasecloak,90,,,0.07,0.07,20,50,50,100,2,50,9,55000,5,20,300,0.25,20,20,,"rare_bp, mbaye",,0.5,2,3,307.5
Geist,geist,Phase Cruiser,High Tech,flarelauncher_active,15,8000,1500,8000,15000,800,135,,75,65,55,25,25,1200,PHASE,phasecloak,,,,0.06,0.04,40,80,120,150,3,50,8,200000,4,20,420,0.25,30,30,,"rare_bp, tritachyon, merc",,0.5,2,3,406
# (+1 skin),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Eridani Utopia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
