id,variant,tags,tier,rarity,fleet pts,op cost,formation,range,attackRunRange,attackPositionOffset,num,role,role desc,refit,base value,,,,,,,,,,,,,number
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mayawati_wing,Ex7s_Mayawati7s_clone_dummy,"auto_fighter, no_drop, no_sell, restricted",3,,0,10,BOX,100000,600,100,1,INTERCEPTOR,Transience,20,20000,,,,,,,,,,,,,26
Mayawati_orb_wing,Ex7s_Mayawati_orb_variant,"auto_fighter, no_drop, no_sell, restricted",3,,0,10,BOX,0,0,0,6,FIGHTER,Transience,20,20000,,,,,,,,,,,,,26
,,,,,,,,,,,,,,,,,,,,,,,,,,,,33
automated_talon_wing_sevens,Ex7s_automated_talon7s_Drone,"interceptor1, interceptor, auto_fighter, no_drop",3,,1,0,V,0,200,,4,INTERCEPTOR,Interceptor,5,2000,,,,,,,,,,,,,6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,35
,,,,,,,,,,,,,,,,,,,,,,,,,,,,36
,,,,,,,,,,,,,,,,,,,,,,,,,,,,37
,,,,,,,,,,,,,,,,,,,,,,,,,,,,38
,,,,,,,,,,,,,,,,,,,,,,,,,,,,39
,,,,,,,,,,,,,,,,,,,,,,,,,,,,40
,,,,,,,,,,,,,,,,,,,,,,,,,,,,41
,,,,,,,,,,,,,,,,,,,,,,,,,,,,42
,,,,,,,,,,,,,,,,,,,,,,,,,,,,43
,,,,,,,,,,,,,,,,,,,,,,,,,,,,44
,,,,,,,,,,,,,,,,,,,,,,,,,,,,45
,,,,,,,,,,,,,,,,,,,,,,,,,,,,46
,,,,,,,,,,,,,,,,,,,,,,,,,,,,47
,,,,,,,,,,,,,,,,,,,,,,,,,,,,48
,,,,,,,,,,,,,,,,,,,,,,,,,,,,49
,,,,,,,,,,,,,,,,,,,,,,,,,,,,50
