id,variant,tags,tier,rarity,fleet pts,op cost,formation,range,attackRunRange,attackPositionOffset,num,role,role desc,refit,base value,,,,,,,,,,,,,number
,,,#稀有度,#刷新修正,#舰队点数,#op,#队形,#射程,#交火距离,#投弹距离,#机体数目,#角色,#名字,#整备时间,#价格,,,,,,,,,,,,,
,,,,,,,#V BOX CLAW,,,,,,,,,,,,,,,,,,,,,
lpc_goat_lick_wing,lpc_goat_lick_variant,"no_drop, no_sell, interceptor3, interceptor, auto_fighter",,,2,9,BOX,2000,200,,3,INTERCEPTOR,无人截击机,6,8000,,,,,,,,,,,,,91991
lpc_goat_prism_wing,lpc_goat_prism_variant,"no_drop, no_sell,auto_fighter",,,2,15,BOX,0,400,,3,SUPPORT,防空无人机,4,12000,,,,,,,,,,,,,
lpc_goat_fortress_wing,lpc_goat_fortress_variant,"no_drop, no_sell, interceptor3, interceptor, auto_fighter",,,2,20,BOX,300,100,,2,INTERCEPTOR,无人护航艇,3,3800,,,,,,,,,,,,,
lpc_goat_nibble_wing,lpc_goat_nibble_variant,"interceptor3, interceptor,goat_bp_w,goat_openbp_w, merc",,,2,10,V,4000,250,,3,FIGHTER,改装战斗机,10,2200,,,,,,,,,,,,,
lpc_goat_turbulent_wing,lpc_goat_turbulent_variant,"bomber3, bomber,goat_bp_w,goat_openbp_w, merc",3,,3,20,BOX,4000,2500,200,4,BOMBER,轰炸机,18,8000,,,,,,,,,,,,,
lpc_goat_hunter_wing,lpc_goat_hunter_variant,"fighter2, interceptor,goat_bp_w,goat_openbp_w, merc",2,,3,12,V,8000,200,900,4,FIGHTER,战斗机,15,6000,,,,,,,,,,,,,
lpc_goat_ironstone_wing,lpc_goat_ironstone_variant,"fighter2, fighter,goat_bp_w,goat_openbp_w, merc, auto_fighter",1,,3,10,CLAW,4000,200,,3,FIGHTER,无人战斗机,8,4500,,,,,,,,,,,,,
lpc_goat_rottenleaf_wing,lpc_goat_rottenleaf_variant,"bomber2, bomber,goat_bp_w,goat_openbp_w, merc, auto_fighter",,,3,16,V,3000,2000,1600,2,BOMBER,无人轰炸机,22,8900,,,,,,,,,,,,,
lpc_goat_redroof_wing,lpc_goat_redroof_variant,"fighter2, interceptor,goat_bp_w,goat_openbp_w, merc",3,,5,15,V,1200,300,200,2,FIGHTER,禁卫战机,10,11000,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lpc_goat_malstina_wing,lpc_goat_malstina_variant,"no_drop, no_sell, auto_fighter",,,2,9,CLAW,2000,200,,4,SUPPORT,无人机,12,8000,,,,,,,,,,,,,91991
lpc_goat_AWL_side_wing,lpc_goat_AWL_side_variant,"no_drop, no_sell, auto_fighter",,,8,0,BOX,4000,400,,4,FIGHTER,无人机,4,8000,,,,,,,,,,,,,91991
lpc_goat_star1_wing,lpc_goat_star1_variant,"no_drop, no_sell, auto_fighter",,,2,0,BOX,0,1000,,2,INTERCEPTOR,无人机,14,5000,,,,,,,,,,,,,
lpc_goat_star2_wing,lpc_goat_star2_variant,"no_drop, no_sell, auto_fighter",,,2,0,BOX,0,300,,3,INTERCEPTOR,无人机,10,5000,,,,,,,,,,,,,
