name,id,flux/second,f/s (base rate),f/s (base cap),flux/use,f/u (base rate),f/u (base cap),cr/u,max uses,regen,charge up,active,down,cooldown,toggle,noDissipation,noHardDissipation,hardFlux,noFiring,noTurning,noStrafing,noAccel,noShield,noVent,isPhaseCloak,tags,icon
薄雾无人机,ssp_hivedrone,,,,,,,,4,0,0,,0,0,,,,,,,,,,,,,graphics/icons/hullsys/drone_pd_high.png
激光无人机,ssp_hivedrone2,,,,,,,,8,0.05,0.4,,0,0,,,,,,,,,,,,,graphics/icons/hullsys/drone_pd_high.png
激光无人机,ssp_hivedrone3,,,,,,,,12,0.05,0.4,,0,0,,,,,,,,,,,,,graphics/icons/hullsys/drone_pd_high.png
无畏打击模式,ssp_ammofeedjet,,0.25,,,,,,,,4,2.5,0.5,9,,,,TRUE,,,,,,,,,graphics/icons/hullsys/maneuvering_jets.png
爆燃推进器,ssp_lanina_system,,,,,,,,,,0.5,4,0.5,7,,,,,,,,,,,,,graphics/icons/hullsys/maneuvering_jets.png
集成装填,ssp_missleswarm,,,,,,,,,,0.25,,0.25,0,,,,TRUE,,,,,,,,,graphics/icons/hullsys/missile_racks.png
雷鸣打击,ssp_ThunderCharge,,,,,,,,,,3,0.1,0.1,10,,,,,,,,,,,,,graphics/icons/hullsys/emp_emitter.png
爆燃突击驱动器,ssp_microburn,1,,,,,,,3,0.2,0.5,0.5,0.5,0.1,,,,,,,,,,,,,graphics/icons/hullsys/burn_drive.png
相位转移力场,ssp_PhaseTransferField,,,,,,,,3,0.05,0.25,4,0.25,2,,,,,TRUE,,,,TRUE,TRUE,,uses_damper_ai,graphics/icons/hullsys/damper_field.png
先进幅散管道,ssp_AdvanceVenting,,,,,,,,,,0.1,0.5,0.1,24,,,,,,,,,,,,,graphics/icons/hullsys/emp_emitter.png
灾厄锁定,ssp_HitMeYouWeekMissile,,,,,,0.1,,,,0.5,15,0.5,20,,,,,,,,,,,,,graphics/icons/hullsys/entropy_amplifier.png
量子复制器,ssp_HighEnergyFocus,1,,,,,,,3,0.05,3.5,0,2,1,,,,,,,,,,,,,graphics/icons/hullsys/high_energy_focus.png
专注填弹器,ssp_AmmoFeed,,,,,,,,,,0.05,10,0.05,10,,,,,,,,,,TRUE,,,graphics/icons/hullsys/ammo_feeder.png
涡流推进器,ssp_ManeuveringJets,,,,,,,,,,4,2,4,5,,,,,,,,,,,,,graphics/icons/hullsys/maneuvering_jets.png
裂片闪现,ssp_zhurong_system,,,,300,,,,3,0.10,0.5,0,0.5,1,,,,TRUE,,,,,,,,,graphics/icons/hullsys/displacer.png
瞬发型矢量驱动,ssp_TDS_system,,,,300,,,,2,0.10,0.1,1,0.1,2,,,,TRUE,,,,,,,,,graphics/icons/hullsys/maneuvering_jets.png
裂片爆裂,ssp_gonggong_system,,,,300,,,,3,0.10,0.5,0,0,3,,,,TRUE,,,,,,,,,graphics/icons/hullsys/maneuvering_jets.png
