name,id,designation,tech/manufacturer,system id,fleet pts,hitpoints,armor rating,max flux,8/6/5/4%,flux dissipation,ordnance points,fighter bays,max speed,acceleration,deceleration,max turn rate,turn acceleration,mass,shield type,defense id,shield arc,shield upkeep,shield efficiency,phase cost,phase upkeep,min crew,max crew,cargo,fuel,fuel/ly,range,max burn,base value,cr %/day,CR to deploy,peak CR sec,CR loss/sec,supplies/rec,supplies/mo,c/s,c/f,f/s,f/f,crew/s,crew/f,hints,tags,rarity,breakProb,minPieces,maxPieces,travel drive,number
#Destroyers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fluorspar,nes_fluorspar,Prototype Destroyer,Crystalline Tech,nes_crystaltemporalshell,14,2500,350,6000,diss baseline +10%~,400,75,,100,90,60,60,90,300,OMNI,,240,0.3,0.7,,,30,60,60,60,2,30,9,69000,5,15,240,0.25,20,20,,,,,,,,"rare_bp, hist2t, merc",0.75,0.7,2,3,,200
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hampter,nes_hamter,Destroyer,Low Tech,ammofeed,12,5000,700,4000,diss baseline -10%~,200,85,1,80,60,40,60,90,500,OMNI,,140,0.4,1,,,60,80,45,45,3,15,9,42000,5,12,420,0.25,12,12,,,,,,,,"rare_bp, merc",,0.4,2,3,,201
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hermitaur,nes_hermitaur,Missile Destroyer,Low Tech,maneuveringjets,10,6000,900,3500,diss baseline -20%~,175,95,,60,60,40,45,90,500,FRONT,,170,0.4,1,,,60,120,90,90,3,30,9,42000,5,12,360,0.25,12,12,,,,,,,,"rare_bp, merc",,0.4,2,3,,202
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hammerfall,nes_hammerfall,Salvage Hunter,Midline,maneuveringjets,9,5000,550,6000,diss baseline~,350,85,,75,60,40,30,60,500,FRONT,,70,0.4,1,,,60,120,160,90,3,30,9,36000,5,12,300,0.25,8,8,,,,,,,,"rare_bp, merc",,0.5,2,3,,203
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carnelian,nes_carnelian,Pursuit Destroyer,Midline,displacer,15,3500,450,8500,diss baseline~,500,90,2,120,160,100,60,90,360,FRONT,,270,0.4,0.8,,,60,90,90,60,2,30,10,69000,5,15,240,0.25,20,20,,,,,,,,"rare_bp, hist2t, merc",0.75,0.5,2,3,,204
#Cruisers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Volt,nes_voltaire,Heavy Cruiser,High Tech,microburn,17,9000,1200,12000,diss baseline +30%~,800,165,1,60,40,30,15,20,2000,FRONT,,260,0.5,0.7,,,120,240,160,160,5,32,8,169000,4,12,420,0.25,25,25,,,,,,,,"rare_bp, hist1t, merc",,0.7,2,3,,301
#Drones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phobos,nes_drone_phobos,,,,,600,100,200,,100,,,300,400,400,200,400,5,NONE,,360,0,1,,,0,0,,,,,,,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cymophane,nes_drone_carnelian_defender,,,,,1200,200,200,,100,,,300,400,400,180,360,5,NONE,,360,0,1,,,0,0,,,,,,,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alexandrite,nes_drone_carnelian_attacker,,,,,800,100,2000,,300,,,300,400,400,180,360,5,NONE,,360,0,1,,,0,0,,,,,,,,,,,,,,,,,,,,,,0,,,,
