name,id,tier,rarity,tech/manufacturer,tags,uiTags,base value,unlocked,hidden,hiddenEverywhere,cost_frigate,cost_dest,cost_cruiser,cost_capital,script,desc,short,sModDesc,sprite
Deuterium-Antideuterium Reactor,AL_DeuStove,1,,Appro-Light - Ether,"offensive,special,req_spaceport,AL_system_set","Special, Requires Dock, AL Energy System",12000,,,,5,10,15,25,originem.al.hullmods.AL_DeuStove,"One of the original technologies of Appro-Light, this is a powerful and effective activated flux dissipation device.
The energy furnace links all of the ship's flux conduits, providing a few seconds of powerful flux dissipation.

[ %s ]
- When this system is available, pressing %s will activate this system in preference to venting.
- Activation takes %s seconds to prepare:
    Pressing %s again during this period will cancel the activation and revert to regular venting.

- For %s seconds, increases base flux dissipation by %s.
- Applies %s hard flux dissipation when shield is active alongside the system.
- Must cool down for %s seconds after use - venting during this time will work as normal.
- Install [D.S. Automation] to enable automatic activation (AI has this enabled by default)",Increase effecitve flux capacity.,,graphics/hullmods/AL_deustove.png
D.S Automation,AL_deustove_auto,1,,Appro-Light - Ether,"offensive,special, no_build_in",Special,,TRUE,,,0,0,0,0,originem.al.hullmods.AL_DeuStoveAuto,"The activation of %s will no longer be done manually, but by the following conditions.
-Activated when the ship's flux level is above %s.
-When the ship is under AI control:
    Activated at the ship couldn't safe vent and no wasted dissipation if activated

The hullmod does not interact with other Appro-Light hullmods.",Automation.,,graphics/hullmods/AL_deustove_auto.png
Dimensional Difference Generator,AL_dimensiongenerator,2,,Appro-Light - Spirit,"defensive,req_spaceport,AL_system_set","Defenses, Requires Dock, AL Energy System",20000,,,,5,10,15,25,originem.al.hullmods.AL_DimensionGenerator,"One of the original devices created by Appro-Light, it is a powerful defensive damage management system.
By drawing energy through a link with p-space, a distorted gravitational layer is formed around the warship, and enemy projectiles and missiles in close proximity have a certain probability of being dispatched to the depths of p-space by the turbulence.
 
[%s]
- Probability of %s enemy projectiles (including missiles).
- Generates hard flux based on the %s.
- The current flux level affects the probability of absorption and the amount of flux generated.",Boosts flux efficiency and nullifies attacks.,,graphics/hullmods/AL_dimensiongenerator.png
,,,,,,,,,,,,,,,,,,,
Glitter Targeting Core,AL_glittertargetingcore,3,,Appro-Light - Ether,"offensive,AL_in_set","Weapons, AL Built-In Coordination",18000,,,,4,8,15,25,originem.al.hullmods.AL_GlitterTargetingCore,"These proprietary targeting systems of the council are typically included as part of Appro-Light ships. Compared to normal targeting devices, the Glitter Targeting Core is more focused on energy weapons.
 
- Depending on the hull size:
    Extends the range of ballistic weapons by %s
    Extends the range of energy weapons by %s",Targeting unit focused on energy weapons,"Energy weapons deal %s~%s increased damage, depending on the ship's flux level.",graphics/hullmods/AL_glittertargetingcore.png
Phantom Ammo Feeder,AL_shadowblueprint,3,,Appro-Light - Ether,"offensive,AL_in_set","Special, AL Built-In Coordination",18000,,,,4,8,12,20,originem.al.hullmods.AL_ShadowBluePrint,"A munitions replication system based on the principle of quantum superposition.
Using observer elements to overlap all low-information projectiles fired from a ship, a dichotomous macroscopic appearance is created under certain conditions.

The ammo feeder has a certain probability of ""replicating"" the projectiles fired by the ship, but due to system compatibility, etc., usage of similar weapon types yields better results:

- Does not work on beam weapons.
- Ballistic, energy, and missile weapons share a %s replication probability.
- When replication is triggered, a projectile with EMP and/or damage higher than %s is ignored:
    Instead, the projectile's damage will be increased by %s.
- The probability increases as the flux level increases:
    Up to %s of the original.
- Probability distribution depends on the type of weapons mounted.",Projectile duplication,Weapons have their rate of fire increased by the same percentage as their replication chance.,graphics/hullmods/AL_shadowblueprint.png
A.L. Air Power Equipment,AL_airrightequipment,1,,Appro-Light - Spirit,"special,AL_in_set","Engines, Defenses, AL Built-In Coordination",8000,,,,3,6,10,15,originem.al.hullmods.AL_AirRightEquipment,"A series of LPC forge optimization programs and FM equipment can strengthen the connection between the fighter wing and the mothership and enhance their synergy.

[ %s ]
- Increases the damage the ship's fighters deal to ships by %s.
- Depending on the distance between this ship and the fighter, the damage of the fighter against missiles and other fighters is increased.
- The closer the distance, the higher the damage bonus, up to %s.
- If the distance exceeds %s of the fighter's engagement range, the gain is lost.

[ %s ]
- The ship is equipped with flux capacitor/vent channels that increase the flux capacity/dissipation of all wings.
- Depending on the size of the ship, the maximum bonus is %s when the maximum capacitors/vents are installed.",Enhance fighter wings.,,graphics/hullmods/AL_airrightequipment.png
Anti-Deuterium Resonance Engine,AL_antideuengine,1,,Appro-Light - Spirit,"engines,req_spaceport,AL_in_set","Engines, Requires Dock, AL Built-In Coordination",8000,,,,6,12,20,30,originem.al.hullmods.AL_AntiDeuEngine,"An engine that follows counter principles to the Deuterium Reactor developed in secret. A ship equipped with this hullmod gains increased maneuverability and speed.

-Increases combat speed by %s
-Increases maneuverability by %s. 

-%s-
During battle if flux can be maintained below %s for %s seconds:
-In %s seconds, combat speed and maneuverability buff gained from this hullmod will be increased by %s.
-The engine will rapidly repair itself during this time.
-This process has a cooldown of %s seconds.",Improved ship mobility,"[ %s ] is no longer triggered automatically: instead, double-tap a movement key (WASD) to activate it.",graphics/hullmods/AL_antideuengine.png
,,,,,,,,,,,,,,,,,,,
A-L Chained Upgrade,AL_chainedmod,2,,Appro-Light - Ether,"special,req_spaceport,AL_out_set","Special, AL External Coordination",12500,,,,3,6,10,15,originem.al.hullmods.AL_ChainedMod,"Optimization of ship system interfaces, upgraded software protocols and underlying hardware equipment. 

-Increases the ship's flux/armor/shield all-around performance by %s.
-Enhances other %s installed on the ship.",All-around enhancements,The buffs for %s and %s are increased by %s.,graphics/hullmods/AL_chainedmod.png
