name,id,tier,rarity,tech/manufacturer,tags,uiTags,base value,unlocked,hidden,hiddenEverywhere,cost_frigate,cost_dest,cost_cruiser,cost_capital,script,desc,short,sModDesc,sprite
二位氢炉,AL_DeuStove,1,,趋光计划-以太,"offensive,special,req_spaceport,AL_system_set","特殊, 需要船坞, 趋光能源系统",12000,,,,5,10,15,25,originem.al.hullmods.AL_DeuStove,"趋光议会起源之一，是一种强大而有效的主动耗散设备。

该能源炉链接了舰船所有的幅能通道，形成一个功效强大的幅能缓冲区，在启动时能提供数秒的超负荷耗散功率。

[ %s ]
- 本系统可用时，按下 %s 将优先激活本系统而非强制排散
- 激活需要 %s 秒的准备:
    此期间再次按下 %s 将取消激活，还原为强制排散
- 共计 %s 秒，提高 %s 的基础幅能耗散
- 激活时允许开盾时耗散 %s 硬幅能
- 缓冲/冷却 %s 秒
- 安装 %s 来启用自动化(AI默认拥有此插件)",提高幅能有效容量。,,graphics/hullmods/AL_deustove.png
D.S自动化,AL_deustove_auto,1,,趋光计划-以太,"offensive,special, no_build_in",特殊,,TRUE,,,0,0,0,0,originem.al.hullmods.AL_DeuStoveAuto," %s 的激活将不再需要手动操作，而是藉由以下条件：
- 舰船幅能水平高于 %s 时激活
- 舰船为AI操控时:
    此时不适合强制排幅且激活后不会浪费排散增益时激活

该插件不会与其他趋光插件互相产生影响。",二位氢炉自动化。,,graphics/hullmods/AL_deustove_auto.png
维度差发生器,AL_dimensiongenerator,2,,趋光计划-全灵,"defensive,req_spaceport,AL_system_set","防御, 需要船坞, 趋光能源系统",20000,,,,5,10,15,25,originem.al.hullmods.AL_DimensionGenerator,"趋光议会起源之一，是一种强大的防御性损伤管理系统。

通过链接维度空腔来产生效能：在战舰周围形成扭曲引力层，靠近的敌方射弹与导弹都有一定概率被引力乱流遣送至空腔深层。
 
[ %s ]
- 有概率直接 %s 敌方靠近的射弹(包括导弹)
- 根据 %s 产生硬幅能
- 当前幅能水平影响吸收概率及产生幅能的量",提升幅能效率，转移攻击。,,graphics/hullmods/AL_dimensiongenerator.png
,,,,,,,,,,,,,,,,,,,
耀光定位核心,AL_glittertargetingcore,3,,趋光计划-以太,"offensive,AL_in_set","武器, 趋光内置协调装置",18000,,,,4,8,15,25,originem.al.hullmods.AL_GlitterTargetingCore,"议会专属的定位设备，是趋光战舰的常备配置。与常规火控插件相比，耀光定位核心将算法重点放在能量武器上。

- 根据舰船级别:
    增加 %s 的实弹武器射程
    增加 %s 的能量武器射程",提高武器射程， 越大的舰船收益越大。,根据当前幅能水平提高 %s ~ %s 的能量武器伤害，幅能越高，伤害越高。,graphics/hullmods/AL_glittertargetingcore.png
跃光幻影弹链,AL_shadowblueprint,3,,趋光计划-以太,"offensive,AL_in_set","武器, 趋光内置协调装置",18000,,,,4,8,12,20,originem.al.hullmods.AL_ShadowBluePrint,"一种基于量子叠加原理的弹药复制系统。使用观察者元件对舰船所有低信息量的射弹进行重叠观测，一定条件下会产生二重的宏观表象。

弹链有一定概率 ""复制"" 来源于该舰的射弹，但由于系统兼容性等原因，尽量使用同类武器才能尽可能触发这个效果:

- 对光束武器无效
- 实弹、能量、导弹武器共享 %s 的复制概率
- 触发复制时，忽略单发幅能/伤害高于 %s 的射弹:
    作为代替，该射弹伤害会提高 %s 
- 概率会随着幅能水平的上升而提高:
    最多提高原来的 %s 
- 概率分配取决于装载武器的类型",提高射弹伤害能力。,各类型武器对应提高与上述当前复制概率数值相同的射速。,graphics/hullmods/AL_shadowblueprint.png
衍光空权设备,AL_airrightequipment,1,,趋光计划-全灵,"special,AL_in_set","特殊, 趋光内置协调装置",8000,,,,3,6,10,15,originem.al.hullmods.AL_AirRightEquipment,"一系列LPC工厂优化方案及调频设备，能加强战机联队与母舰的联系，提升协同作战能力。

[ %s ]
- 提高战机 %s 的对舰伤害
- 根据该舰与战机距离，提高战机对导弹、其他战机的伤害
    - 距离越近，伤害加成越高，最高可达 %s
    - 距离超过战机作战范围的 %s 时失去增益

[ %s ]
- 该舰安装的幅能寄存器/耗散通道能提高战机的幅能容量/耗散
- 根据舰船规模，安装满寄存器/耗散通道时，最高加成为 %s",加强高幅能作战力。,,graphics/hullmods/AL_airrightequipment.png
反炉谐振引擎,AL_antideuengine,1,,趋光计划-全灵,"engines,req_spaceport,AL_in_set","特殊, 引擎, 需要船坞, 趋光内置协调装置",8000,,,,6,12,20,30,originem.al.hullmods.AL_AntiDeuEngine,"原理与二位氢炉背道而驰的粒子发生器，通过与舰体散发的某种场产生物理排斥来达到加速的目的。

- 最大速度提高 %s 
- 机动性提高 %s 

[ %s ]
- 幅能保持在 %s 以下达 %s 秒额外提供:
- %s 秒内提高 %s 从该插件获得的速度及机动性
- 加快引擎修复
- 该增益有 %s 秒的冷却时间",提高舰船机动性。,[ %s ] 不再自动触发，而是通过充能完毕后 %s (默认为WASD) 触发。 ,graphics/hullmods/AL_antideuengine.png
,,,,,,,,,,,,,,,,,,,
趋光链式升级,AL_chainedmod,2,,趋光计划-以太,"special,req_spaceport,AL_out_set","特殊, 需要船坞, 趋光外置协调装置",12500,,,,3,6,10,15,originem.al.hullmods.AL_ChainedMod,"优化舰船系统接口，升级软件协议及底层硬件设备。

- 总体提高 %s 幅能/装甲/护盾的性能
- 升级其他安装在该舰船上的 %s ",全面升级。,%s 及 %s 的增益数值提高至 %s 。,graphics/hullmods/AL_chainedmod.png
