id,type,size,intensity,fadeout,color,offset,hit size,hit intensity,hit fadeout,hit color,flash size,flash intensity,flash fadeout,flash color,flash offset,chance,fighter dim
AL_explodebeam,beam,70,0.8,,"[150,100,255]",,210,0.5,,"[125,10,155]",105,0.5,,"[125,10,155]",,1,TRUE
AL_dyingblazebeam,beam,50,1,,"[150,100,255]",,150,0.5,,"[125,10,155]",120,0.5,,"[100,0,155]",,1,TRUE
AL_ultrabeam,beam,150,1.2,,"[255,30,30]",,400,0.8,,"[255,20,20]",300,0.8,,"[255,10,10]",,1,TRUE
AL_deitygun,beam,300,1.5,,"[150,175,255]",,400,2,,"[100,175,255]",500,0.8,,"[100,175,255]",,1,TRUE
AL_respectbeam,beam,12,0.6,,"[255,130,130]",,80,0.65,,"[255,10,10]",12,0.65,,"[255,10,10]",,1,TRUE
AL_refusingpulse,beam,85,0.4,,"[130,130,205]",,260,0.35,,"[10,10,155]",,,,,,1,TRUE
AL_defenderpd,beam,35,0.4,,"[100,90,255]",,105,0.2,,"[100,100,255]",55,0.2,,"[100,100,255]",,1,TRUE
,,,,,,,,,,,,,,,,,
AL_spiderpulse_shot,projectile,60,0.4,0.3,"[100,100,255]",,150,0.6,0.75,"[100,100,255]",100,0.4,0.2,"[100,100,255]",,1,TRUE
AL_spiderlaser_shot,projectile,90,0.5,0.3,"[100,100,255]",,200,0.8,1,"[100,100,255]",125,0.5,0.3,"[100,100,255]",,1,TRUE
AL_respector_shot,projectile,80,0.75,0.2,"[255,30,30]",,250,0.8,2,"[255,30,30]",200,1,0.5,"[255,30,30]",,1,TRUE
AL_railgun_shot,projectile,90,0.8,0.3,"[120,50,255]",,160,0.7,0.8,"[120,50,255]",80,0.5,0.3,"[120,50,255]",,1,TRUE
AL_pulsecannon_shot,projectile,150,0.45,0.175,"[90,70,255]",,200,0.55,1,"[90,70,255]",200,0.3,0.35,"[255,185,215]",,1,TRUE
AL_chopfire_shot,projectile,200,1.2,0.175,"[100,70,255]",,250,0.9,1,"[100,70,255]",200,0.45,0.35,"[100,70,255]",,1,TRUE
AL_electricalcannon_shot,projectile,200,0.8,0.4,"[100,70,255]",,200,0.8,1,"[100,70,255]",200,0.45,0.35,"[255,185,215]",,1,TRUE
AL_moonlight_medium_shot,projectile,100,0.25,0.25,"[100,100,255]",,125,0.3,0.7,"[100,100,255]",100,0.25,0.2,"[100,100,255]",,0.7,TRUE
AL_moonlight_large_shot,projectile,175,1,0.4,"[150,100,255]",,250,0.7,0.7,"[150,100,255]",150,0.4,0.4,"[150,100,255]",,0.7,TRUE
AL_proton_shot,projectile,100,0.1,0.25,"[130,255,255]",,125,0.3,0.7,"[130,255,255]",100,0.25,0.2,"[130,255,255]",,0.7,TRUE
AL_fireflushcannon_shot,projectile,100,0.25,0.25,"[255,190,180]",,125,0.3,0.7,"[255,190,180]",100,0.25,0.2,"[255,190,180]",,0.7,TRUE
AL_fireflushpulse_shot,projectile,200,0.4,0.15,"[255,0,180]",,150,0.2,1,"[255,0,180]",150,0.25,0.2,"[255,0,180]",,0.7,TRUE
AL_starimage_shot,projectile,60,0.5,0.3,"[100,100,255]",,100,0.6,0.8,"[100,100,255]",150,0.8,0.35,"[100,100,255]",,1,TRUE
,,,,,,,,,,,,,,,,,
AL_thunder_mrm,projectile,150,0.75,0.5,"[100,50,255]",,450,0.75,1,"[100,0,255]",,,,,,1,FALSE
AL_lighter_torp,projectile,200,0.75,0.5,"[130,50,255]",,800,0.75,1.75,"[130,50,255]",,,,,,1,FALSE
